Date,Season,Game_ID,Home_Team_ID,Away_Team_ID,Home_Team,Away_Team,Venue
2026-04-01,2026,823157,136,147,Seattle Mariners,New York Yankees,T-Mobile Park
2026-04-01,2026,823321,135,137,San Diego Padres,San Francisco Giants,Petco Park
2026-04-01,2026,823483,143,120,Philadelphia Phillies,Washington Nationals,Citizens Bank Park
2026-04-01,2026,823806,158,139,Milwaukee Brewers,Tampa Bay Rays,American Family Field
2026-04-01,2026,823889,146,145,Miami Marlins,Chicago White Sox,loanDepot park
2026-04-01,2026,823970,119,114,Los Angeles Dodgers,Cleveland Guardians,UNIQLO Field at Dodger Stadium
2026-04-01,2026,824136,118,142,Kansas City Royals,Minnesota Twins,Kauffman Stadium
2026-04-01,2026,824211,117,111,Houston Astros,Boston Red Sox,Daikin Park
2026-04-01,2026,824536,113,134,Cincinnati Reds,Pittsburgh Pirates,Great American Ball Park
2026-04-01,2026,824698,112,108,Chicago Cubs,Los Angeles Angels,Wrigley Field
2026-04-01,2026,824860,110,140,Baltimore Orioles,Texas Rangers,Oriole Park at Camden Yards
2026-04-01,2026,824940,144,133,Atlanta Braves,Athletics,Truist Park
2026-04-01,2026,825106,109,116,Arizona Diamondbacks,Detroit Tigers,Chase Field
2026-04-02,2026,823242,137,121,San Francisco Giants,New York Mets,Oracle Park
2026-04-02,2026,824133,118,142,Kansas City Royals,Minnesota Twins,Kauffman Stadium
2026-04-02,2026,825105,109,144,Arizona Diamondbacks,Atlanta Braves,Chase Field
2026-04-03,2026,822758,120,119,Washington Nationals,Los Angeles Dodgers,Nationals Park
2026-04-03,2026,822919,140,113,Texas Rangers,Cincinnati Reds,Globe Life Field
2026-04-03,2026,823240,137,121,San Francisco Giants,New York Mets,Oracle Park
2026-04-03,2026,823406,134,110,Pittsburgh Pirates,Baltimore Orioles,PNC Park
2026-04-03,2026,823568,147,146,New York Yankees,Miami Marlins,Yankee Stadium
2026-04-03,2026,823732,142,139,Minnesota Twins,Tampa Bay Rays,Target Field
2026-04-03,2026,824056,108,136,Los Angeles Angels,Seattle Mariners,Angel Stadium
2026-04-03,2026,824299,116,138,Detroit Tigers,St. Louis Cardinals,Comerica Park
2026-04-03,2026,824377,115,143,Colorado Rockies,Philadelphia Phillies,Coors Field
2026-04-03,2026,824458,114,112,Cleveland Guardians,Chicago Cubs,Progressive Field
2026-04-03,2026,824621,145,141,Chicago White Sox,Toronto Blue Jays,Rate Field
2026-04-03,2026,824786,111,135,Boston Red Sox,San Diego Padres,Fenway Park
2026-04-03,2026,825026,133,117,Athletics,Houston Astros,Sutter Health Park
2026-04-03,2026,825103,109,144,Arizona Diamondbacks,Atlanta Braves,Chase Field
2026-04-04,2026,822757,120,119,Washington Nationals,Los Angeles Dodgers,Nationals Park
2026-04-04,2026,822920,140,113,Texas Rangers,Cincinnati Reds,Globe Life Field
2026-04-04,2026,823239,137,121,San Francisco Giants,New York Mets,Oracle Park
2026-04-04,2026,823404,134,110,Pittsburgh Pirates,Baltimore Orioles,PNC Park
2026-04-04,2026,823569,147,146,New York Yankees,Miami Marlins,Yankee Stadium
2026-04-04,2026,823730,142,139,Minnesota Twins,Tampa Bay Rays,Target Field
2026-04-04,2026,824054,108,136,Los Angeles Angels,Seattle Mariners,Angel Stadium
2026-04-04,2026,824132,118,158,Kansas City Royals,Milwaukee Brewers,Kauffman Stadium
2026-04-04,2026,824134,118,158,Kansas City Royals,Milwaukee Brewers,Kauffman Stadium
2026-04-04,2026,824295,116,138,Detroit Tigers,St. Louis Cardinals,Comerica Park
2026-04-04,2026,824378,115,143,Colorado Rockies,Philadelphia Phillies,Coors Field
2026-04-04,2026,824622,145,141,Chicago White Sox,Toronto Blue Jays,Rate Field
2026-04-04,2026,824782,111,135,Boston Red Sox,San Diego Padres,Fenway Park
2026-04-04,2026,825027,133,117,Athletics,Houston Astros,Sutter Health Park
2026-04-04,2026,825104,109,144,Arizona Diamondbacks,Atlanta Braves,Chase Field
2026-04-05,2026,822756,120,119,Washington Nationals,Los Angeles Dodgers,Nationals Park
2026-04-05,2026,822917,140,113,Texas Rangers,Cincinnati Reds,Globe Life Field
2026-04-05,2026,823238,137,121,San Francisco Giants,New York Mets,Oracle Park
2026-04-05,2026,823405,134,110,Pittsburgh Pirates,Baltimore Orioles,PNC Park
2026-04-05,2026,823566,147,146,New York Yankees,Miami Marlins,Yankee Stadium
2026-04-05,2026,823729,142,139,Minnesota Twins,Tampa Bay Rays,Target Field
2026-04-05,2026,824053,108,136,Los Angeles Angels,Seattle Mariners,Angel Stadium
2026-04-05,2026,824131,118,158,Kansas City Royals,Milwaukee Brewers,Kauffman Stadium
2026-04-05,2026,824296,116,138,Detroit Tigers,St. Louis Cardinals,Comerica Park
2026-04-05,2026,824379,115,143,Colorado Rockies,Philadelphia Phillies,Coors Field
2026-04-05,2026,824459,114,112,Cleveland Guardians,Chicago Cubs,Progressive Field
2026-04-05,2026,824460,114,112,Cleveland Guardians,Chicago Cubs,Progressive Field
2026-04-05,2026,824620,145,141,Chicago White Sox,Toronto Blue Jays,Rate Field
2026-04-05,2026,824781,111,135,Boston Red Sox,San Diego Padres,Fenway Park
2026-04-05,2026,825025,133,117,Athletics,Houston Astros,Sutter Health Park
2026-04-05,2026,825102,109,144,Arizona Diamondbacks,Atlanta Braves,Chase Field
2026-04-06,2026,822755,120,138,Washington Nationals,St. Louis Cardinals,Nationals Park
2026-04-06,2026,822832,141,119,Toronto Blue Jays,Los Angeles Dodgers,Rogers Centre
2026-04-06,2026,822918,140,136,Texas Rangers,Seattle Mariners,Globe Life Field
2026-04-06,2026,823002,139,112,Tampa Bay Rays,Chicago Cubs,Tropicana Field
2026-04-06,2026,823237,137,143,San Francisco Giants,Philadelphia Phillies,Oracle Park
2026-04-06,2026,823401,134,135,Pittsburgh Pirates,San Diego Padres,PNC Park
2026-04-06,2026,823728,142,116,Minnesota Twins,Detroit Tigers,Target Field
2026-04-06,2026,823886,146,113,Miami Marlins,Cincinnati Reds,loanDepot park
2026-04-06,2026,824052,108,144,Los Angeles Angels,Atlanta Braves,Angel Stadium
2026-04-06,2026,824376,115,117,Colorado Rockies,Houston Astros,Coors Field
2026-04-06,2026,824456,114,118,Cleveland Guardians,Kansas City Royals,Progressive Field
2026-04-06,2026,824619,145,110,Chicago White Sox,Baltimore Orioles,Rate Field
2026-04-06,2026,824783,111,158,Boston Red Sox,Milwaukee Brewers,Fenway Park
2026-04-07,2026,822754,120,138,Washington Nationals,St. Louis Cardinals,Nationals Park
2026-04-07,2026,822831,141,119,Toronto Blue Jays,Los Angeles Dodgers,Rogers Centre
2026-04-07,2026,822916,140,136,Texas Rangers,Seattle Mariners,Globe Life Field
2026-04-07,2026,822999,139,112,Tampa Bay Rays,Chicago Cubs,Tropicana Field
2026-04-07,2026,823235,137,143,San Francisco Giants,Philadelphia Phillies,Oracle Park
2026-04-07,2026,823402,134,135,Pittsburgh Pirates,San Diego Padres,PNC Park
2026-04-07,2026,823567,147,133,New York Yankees,Athletics,Yankee Stadium
2026-04-07,2026,823648,121,109,New York Mets,Arizona Diamondbacks,Citi Field
2026-04-07,2026,823727,142,116,Minnesota Twins,Detroit Tigers,Target Field
2026-04-07,2026,823887,146,113,Miami Marlins,Cincinnati Reds,loanDepot park
2026-04-07,2026,824051,108,144,Los Angeles Angels,Atlanta Braves,Angel Stadium
2026-04-07,2026,824375,115,117,Colorado Rockies,Houston Astros,Coors Field
2026-04-07,2026,824457,114,118,Cleveland Guardians,Kansas City Royals,Progressive Field
2026-04-07,2026,824618,145,110,Chicago White Sox,Baltimore Orioles,Rate Field
2026-04-07,2026,824780,111,158,Boston Red Sox,Milwaukee Brewers,Fenway Park
2026-04-08,2026,822753,120,138,Washington Nationals,St. Louis Cardinals,Nationals Park
2026-04-08,2026,822833,141,119,Toronto Blue Jays,Los Angeles Dodgers,Rogers Centre
2026-04-08,2026,822915,140,136,Texas Rangers,Seattle Mariners,Globe Life Field
2026-04-08,2026,823000,139,112,Tampa Bay Rays,Chicago Cubs,Tropicana Field
2026-04-08,2026,823234,137,143,San Francisco Giants,Philadelphia Phillies,Oracle Park
2026-04-08,2026,823403,134,135,Pittsburgh Pirates,San Diego Padres,PNC Park
2026-04-08,2026,823564,147,133,New York Yankees,Athletics,Yankee Stadium
2026-04-08,2026,823646,121,109,New York Mets,Arizona Diamondbacks,Citi Field
2026-04-08,2026,823726,142,116,Minnesota Twins,Detroit Tigers,Target Field
2026-04-08,2026,823885,146,113,Miami Marlins,Cincinnati Reds,loanDepot park
2026-04-08,2026,824050,108,144,Los Angeles Angels,Atlanta Braves,Angel Stadium
2026-04-08,2026,824374,115,117,Colorado Rockies,Houston Astros,Coors Field
2026-04-08,2026,824455,114,118,Cleveland Guardians,Kansas City Royals,Progressive Field
2026-04-08,2026,824617,145,110,Chicago White Sox,Baltimore Orioles,Rate Field
2026-04-08,2026,824779,111,158,Boston Red Sox,Milwaukee Brewers,Fenway Park
2026-04-09,2026,823319,135,115,San Diego Padres,Colorado Rockies,Petco Park
2026-04-09,2026,823565,147,133,New York Yankees,Athletics,Yankee Stadium
2026-04-09,2026,823645,121,109,New York Mets,Arizona Diamondbacks,Citi Field
2026-04-09,2026,823724,142,116,Minnesota Twins,Detroit Tigers,Target Field
2026-04-09,2026,823884,146,113,Miami Marlins,Cincinnati Reds,loanDepot park
2026-04-09,2026,824130,118,145,Kansas City Royals,Chicago White Sox,Kauffman Stadium
