season,week,gsis_id,full_name,team,position,depth_chart_position,status,years_exp,rookie_year,history_available
2026,1,00-0034272,Marquez Valdes-Scantling,DAL,WR,WR,ACT,8,2018,True
2026,1,00-0035639,Parris Campbell,DAL,WR,WR,RET,7,2019,True
2026,1,00-0041516,Romello Brinson,DAL,WR,WR,ACT,0,2026,False
2026,1,00-0039410,Ryan Flournoy,DAL,WR,WR,ACT,2,2024,True
2026,1,00-0040048,Traeshon Holden,DAL,WR,WR,CUT,1,2025,False
2026,1,00-0036427,Tyler Johnson,DAL,WR,WR,ACT,6,2020,True
2026,1,00-0039732,Bo Nix,DEN,QB,QB,ACT,2,2024,True
2026,1,00-0035264,Jarrett Stidham,DEN,QB,QB,ACT,7,2019,True
2026,1,00-0036879,Sam Ehlinger,DEN,QB,QB,ACT,5,2021,True
2026,1,00-0036727,Adam Prentice,DEN,RB,FB,ACT,5,2021,True
2026,1,00-0039703,Cody Schrader,DEN,RB,RB,ACT,2,2024,True
2026,1,00-0036158,J.K. Dobbins,DEN,RB,RB,ACT,6,2020,True
2026,1,00-0038794,Jaleel McLaughlin,DEN,RB,RB,ACT,3,2023,True
2026,1,00-0041496,Jonah Coleman,DEN,RB,RB,ACT,0,2026,False
2026,1,00-0040730,RJ Harvey,DEN,RB,RB,ACT,1,2025,True
2026,1,00-0037085,Tyler Badie,DEN,RB,RB,ACT,4,2022,True
2026,1,00-0036422,Adam Trautman,DEN,TE,TE,ACT,6,2020,True
2026,1,00-0040240,Caleb Lohner,DEN,TE,TE,ACT,1,2025,False
2026,1,00-0041133,Dallen Bentley,DEN,TE,TE,ACT,0,2026,False
2026,1,00-0033881,Evan Engram,DEN,TE,TE,ACT,9,2017,True
2026,1,00-0041077,Justin Joly,DEN,TE,TE,ACT,0,2026,False
2026,1,00-0037539,Lucas Krull,DEN,TE,TE,ACT,4,2022,True
2026,1,00-0038783,Nate Adkins,DEN,TE,TE,ACT,3,2023,True
2026,1,00-0041299,Cameron Ross,DEN,WR,WR,ACT,0,2026,False
2026,1,00-0034348,Courtland Sutton,DEN,WR,WR,ACT,8,2018,True
2026,1,00-0041293,Dane Key,DEN,WR,WR,ACT,0,2026,False
2026,1,00-0036613,Jaylen Waddle,DEN,WR,WR,ACT,5,2021,True
2026,1,00-0041294,Joseph Manjack,DEN,WR,WR,ACT,0,2026,False
2026,1,00-0041292,Kolbe Katsis,DEN,WR,WR,ACT,0,2026,False
2026,1,00-0040633,Kyrese Rowan,DEN,WR,WR,ACT,1,2025,False
2026,1,00-0035406,Lil'Jordan Humphrey,DEN,WR,WR,ACT,7,2019,True
2026,1,00-0038976,Marvin Mims Jr.,DEN,WR,WR,ACT,3,2023,True
2026,1,00-0036959,Michael Bandy,DEN,WR,WR,ACT,5,2021,True
2026,1,00-0037300,Mike Woods,DEN,WR,WR,ACT,4,2022,True
2026,1,00-0040134,Pat Bryant,DEN,WR,WR,ACT,1,2025,True
2026,1,00-0039868,Troy Franklin,DEN,WR,WR,ACT,2,2024,True
2026,1,00-0033106,Jared Goff,DET,QB,QB,ACT,10,2016,True
2026,1,00-0033949,Joshua Dobbs,DET,QB,QB,ACT,9,2017,False
2026,1,00-0041453,Luke Altmyer,DET,QB,QB,ACT,0,2026,False
2026,1,00-0031237,Teddy Bridgewater,DET,QB,QB,RET,12,2014,True
2026,1,00-0037197,Isiah Pacheco,DET,RB,RB,ACT,4,2022,True
2026,1,00-0039652,Jabari Small,DET,RB,RB,ACT,2,2024,False
2026,1,00-0038896,Jacob Saylors,DET,RB,RB,ACT,3,2023,True
2026,1,00-0039139,Jahmyr Gibbs,DET,RB,RB,ACT,3,2023,True
2026,1,00-0040393,Kye Robichaux,DET,RB,RB,CUT,1,2025,False
2026,1,00-0041572,Roydell Williams,DET,RB,RB,ACT,0,2026,False
2026,1,00-0039364,Sione Vaki,DET,RB,RB,ACT,2,2024,True
2026,1,00-0035291,Trayveon Williams,DET,RB,RB,ACT,7,2019,False
2026,1,00-0036754,Brock Wright,DET,TE,TE,ACT,5,2021,True
2026,1,00-0040390,Jackson Meeks,DET,TE,TE,ACT,1,2025,False
2026,1,00-0041457,Miles Kitselman,DET,TE,TE,ACT,0,2026,False
2026,1,00-0039065,Sam LaPorta,DET,TE,TE,ACT,3,2023,True
2026,1,00-0040697,Thomas Gordon,DET,TE,TE,ACT,1,2025,False
2026,1,00-0034270,Tyler Conklin,DET,TE,TE,ACT,8,2018,True
2026,1,00-0040387,Zach Horton,DET,TE,TE,ACT,1,2025,False
2026,1,00-0036963,Amon-Ra St. Brown,DET,WR,WR,ACT,5,2021,True
2026,1,00-0034418,Cedrick Wilson Jr.,DET,WR,WR,CUT,8,2018,True
2026,1,00-0040241,Dominic Lovett,DET,WR,WR,ACT,1,2025,False
2026,1,00-0035500,Greg Dortch,DET,WR,WR,ACT,7,2019,True
2026,1,00-0040669,Isaac TeSlaa,DET,WR,WR,ACT,1,2025,True
2026,1,00-0037240,Jameson Williams,DET,WR,WR,ACT,4,2022,True
2026,1,00-0041446,Kendrick Law,DET,WR,WR,RES,0,2026,False
2026,1,00-0041536,Kyre Duplessis,DET,WR,WR,CUT,0,2026,False
2026,1,00-0038181,Lucky Jackson,DET,WR,WR,ACT,6,2023,False
2026,1,00-0038911,Malik Cunningham,DET,WR,WR,ACT,3,2023,True
2026,1,00-0036491,Tarik Black,DET,WR,WR,ACT,5,2021,False
2026,1,00-0037524,Tay Martin,DET,WR,WR,ACT,4,2022,False
2026,1,00-0035544,Tom Kennedy,DET,WR,WR,ACT,7,2019,True
2026,1,00-0036264,Jordan Love,GB,QB,QB,ACT,6,2020,True
2026,1,00-0040014,Kyle McCord,GB,QB,QB,ACT,1,2025,False
