dt,team,player_name,espn_id,gsis_id,pos_grp_id,pos_grp,pos_id,pos_name,pos_abb,pos_slot,pos_rank
2026-09-01T12:20:07Z,CHI,Tyson Bagent,4434153,00-0038416,21,3WR 1TE,8,Quarterback,QB,9,2
2026-09-01T12:20:07Z,CHI,Case Keenum,15168,00-0028986,21,3WR 1TE,8,Quarterback,QB,9,3
2026-09-01T12:20:07Z,CHI,D'Andre Swift,4259545,00-0036275,21,3WR 1TE,9,Running Back,RB,11,1
2026-09-01T12:20:07Z,CHI,Kyle Monangai,4608686,00-0040236,21,3WR 1TE,9,Running Back,RB,11,2
2026-09-01T12:20:07Z,CHI,Roschon Johnson,4426386,00-0039021,21,3WR 1TE,9,Running Back,RB,11,3
2026-09-01T12:20:07Z,CHI,Brittain Brown,4036032,00-0037329,21,3WR 1TE,9,Running Back,RB,11,4
2026-09-01T12:20:07Z,CHI,Colston Loveland,4723086,00-0040126,21,3WR 1TE,7,Tight End,TE,10,1
2026-09-01T12:20:07Z,CHI,Cole Kmet,4258595,00-0036290,21,3WR 1TE,7,Tight End,TE,10,2
2026-09-01T12:20:07Z,CHI,Sam Roush,4685504,00-0041558,21,3WR 1TE,7,Tight End,TE,10,3
2026-09-01T12:20:07Z,CHI,Hayden Large,5150662,00-0041170,21,3WR 1TE,7,Tight End,TE,10,4
2026-09-01T12:20:07Z,CHI,Nikola Kalinic,4916349,00-0037031,21,3WR 1TE,7,Tight End,TE,10,5
2026-09-01T12:20:07Z,CHI,Rome Odunze,4431299,00-0039919,21,3WR 1TE,1,Wide Receiver,WR,1,1
2026-09-01T12:20:07Z,CHI,Luther Burden III,4685278,00-0040735,21,3WR 1TE,1,Wide Receiver,WR,2,2
2026-09-01T12:20:07Z,CHI,Kalif Raymond,2973405,00-0032464,21,3WR 1TE,1,Wide Receiver,WR,8,3
2026-09-01T12:20:07Z,CHI,Zavion Thomas,4869748,00-0041051,21,3WR 1TE,1,Wide Receiver,WR,1,4
2026-09-01T12:20:07Z,CHI,Jahdae Walker,5160110,00-0040277,21,3WR 1TE,1,Wide Receiver,WR,2,5
2026-09-01T12:20:07Z,CHI,Ray-Ray McCloud III,3728262,00-0034407,21,3WR 1TE,1,Wide Receiver,WR,8,6
2026-09-01T12:20:07Z,CIN,Joe Burrow,3915511,00-0036442,21,3WR 1TE,8,Quarterback,QB,9,1
2026-09-01T12:20:07Z,CIN,Joe Flacco,11252,00-0026158,21,3WR 1TE,8,Quarterback,QB,9,2
2026-09-01T12:20:07Z,CIN,Chase Brown,4362238,00-0038597,21,3WR 1TE,9,Running Back,RB,11,1
2026-09-01T12:20:07Z,CIN,Samaje Perine,3116389,00-0033526,21,3WR 1TE,9,Running Back,RB,11,2
2026-09-01T12:20:07Z,CIN,Tahj Brooks,4429299,00-0040208,21,3WR 1TE,9,Running Back,RB,11,3
2026-09-01T12:20:07Z,CIN,Mike Gesicki,3116164,00-0034829,21,3WR 1TE,7,Tight End,TE,10,1
