candidate_id,player,team,opponent,market_type,side,line,price,break_even_probability,stress_probability,lcb_probability,stress_edge,lcb_edge,edge_defendability_tier,forecastability_tier,structural_mispricing_tier,similar_state_reliability_tier,safe_state_tier,primary_blocker,root_cause,recommended_action,settlement_status,explanation,warning_badges,shadow_only,promotion_ready
candidate::2026-05-28|isaiah_hartenstein|PTS|UNDER|7.5000,Isaiah_Hartenstein,OKC,SAS,PTS_UNDER,UNDER,7.5,-112.5,0.5294117647058824,0.5862017152090764,0.5657441751774572,0.056789950503194,0.0363324104715748,EDGE_DEFENDABLE,UNFORECASTABLE,PRICE_ONLY_EDGE,INSUFFICIENT_SAMPLE,SAFE_STATE_INSUFFICIENT_EVIDENCE,FORECASTABILITY_GAP_MINUTES_STATE,REAL_MINUTES_VOLATILITY,KEEP_UNSAFE_TRUE_VOLATILITY,PENDING,Classified as SAFE_STATE_INSUFFICIENT_EVIDENCE: forecastability=FORECASTABILITY_GAP_MINUTES_STATE;structural=PRICE_ONLY_EDGE;similar_states=INSUFFICIENT_SAMPLE. This label is shadow-only and does not change production picks.,"['EVENT_START_VERIFIED', 'MINUTES_VOLATILE', 'PRICE_DEFENDABLE', 'TRUE_UNSTABLE_REJECTED']",True,False
candidate::2026-05-28|keldon_johnson|TRB|UNDER|3.0000,Keldon_Johnson,SAS,OKC,TRB_UNDER,UNDER,3.0,-15.5,0.1341991341991342,0.5896222325540489,0.5508300165537074,0.4554230983549147,0.4166308823545732,EDGE_UNTRUSTED_PRICE,UNFORECASTABLE,PRICE_ONLY_EDGE,INSUFFICIENT_SAMPLE,SAFE_STATE_REJECT,PRICE_GAP,,PRICE_UNTRUSTED_RESEARCH_ONLY,PENDING,Classified as SAFE_STATE_REJECT: invalid_market_side_price;forecastability=FORECASTABILITY_GAP_MINUTES_STATE;structural=PRICE_ONLY_EDGE;similar_states=INSUFFICIENT_SAMPLE. This label is shadow-only and does not change production picks.,['PRICE_UNTRUSTED'],True,False
candidate::2026-05-28|luguentz_dort|TRB|UNDER|2.5000,Luguentz_Dort,OKC,SAS,TRB_UNDER,UNDER,2.5,102.0,0.495049504950495,0.5859355310940424,0.5508300165537074,0.0908860261435473,0.0557805116032124,EDGE_DEFENDABLE,UNFORECASTABLE,PRICE_ONLY_EDGE,INSUFFICIENT_SAMPLE,SAFE_STATE_INSUFFICIENT_EVIDENCE,FORECASTABILITY_GAP_MINUTES_STATE,REAL_MINUTES_VOLATILITY,KEEP_UNSAFE_TRUE_VOLATILITY,PENDING,Classified as SAFE_STATE_INSUFFICIENT_EVIDENCE: forecastability=FORECASTABILITY_GAP_MINUTES_STATE;structural=PRICE_ONLY_EDGE;similar_states=INSUFFICIENT_SAMPLE. This label is shadow-only and does not change production picks.,"['EVENT_START_VERIFIED', 'MINUTES_VOLATILE', 'PRICE_DEFENDABLE', 'TRUE_UNSTABLE_REJECTED']",True,False
candidate::2026-05-28|luguentz_dort|PTS|UNDER|5.5000,Luguentz_Dort,OKC,SAS,PTS_UNDER,UNDER,5.5,-137.0,0.5780590717299579,0.584098111975636,0.5657441751774572,0.0060390402456781,-0.0123148965525006,EDGE_PRICE_DEPENDENT,UNFORECASTABLE,NO_STRUCTURAL_EDGE,INSUFFICIENT_SAMPLE,SAFE_STATE_REJECT,PRICE_GAP,,PRICE_DEPENDENT_RESEARCH_ONLY,PENDING,Classified as SAFE_STATE_REJECT: current_price_does_not_clear_conservative_edge;forecastability=FORECASTABILITY_GAP_MINUTES_STATE;structural=NO_STRUCTURAL_EDGE;similar_states=INSUFFICIENT_SAMPLE. This label is shadow-only and does not change production picks.,"['EVENT_START_VERIFIED', 'PRICE_DEPENDENT']",True,False
candidate::2026-05-28|jared_mccain|TRB|UNDER|2.5000,Jared_McCain,OKC,SAS,TRB_UNDER,UNDER,2.5,-113.5,0.531615925058548,0.5819105693560018,0.5508300165537074,0.0502946442974537,0.0192140914951594,EDGE_DEFENDABLE,UNFORECASTABLE,PRICE_ONLY_EDGE,INSUFFICIENT_SAMPLE,SAFE_STATE_INSUFFICIENT_EVIDENCE,FORECASTABILITY_GAP_MINUTES_STATE,REAL_MINUTES_VOLATILITY,KEEP_UNSAFE_TRUE_VOLATILITY,PENDING,Classified as SAFE_STATE_INSUFFICIENT_EVIDENCE: forecastability=FORECASTABILITY_GAP_MINUTES_STATE;structural=PRICE_ONLY_EDGE;similar_states=INSUFFICIENT_SAMPLE. This label is shadow-only and does not change production picks.,"['EVENT_START_VERIFIED', 'MINUTES_VOLATILE', 'PRICE_DEFENDABLE', 'TRUE_UNSTABLE_REJECTED']",True,False
candidate::2026-05-28|keldon_johnson|PTS|UNDER|7.5000,Keldon_Johnson,SAS,OKC,PTS_UNDER,UNDER,7.5,-125.5,0.5565410199556541,0.5705184591879002,0.5657441751774572,0.0139774392322461,0.0092031552218031,EDGE_DEFENDABLE,UNFORECASTABLE,PRICE_ONLY_EDGE,INSUFFICIENT_SAMPLE,SAFE_STATE_INSUFFICIENT_EVIDENCE,FORECASTABILITY_GAP_MINUTES_STATE,REAL_MINUTES_VOLATILITY,KEEP_UNSAFE_TRUE_VOLATILITY,PENDING,Classified as SAFE_STATE_INSUFFICIENT_EVIDENCE: forecastability=FORECASTABILITY_GAP_MINUTES_STATE;structural=PRICE_ONLY_EDGE;similar_states=INSUFFICIENT_SAMPLE. This label is shadow-only and does not change production picks.,"['EVENT_START_VERIFIED', 'MINUTES_VOLATILE', 'PRICE_DEFENDABLE', 'TRUE_UNSTABLE_REJECTED']",True,False
candidate::2026-05-28|isaiah_hartenstein|TRB|UNDER|8.5000,Isaiah_Hartenstein,OKC,SAS,TRB_UNDER,UNDER,8.5,-139.5,0.5824634655532359,0.5618908658658803,0.5508300165537074,-0.0205725996873555,-0.0316334489995284,EDGE_PRICE_DEPENDENT,UNFORECASTABLE,NO_STRUCTURAL_EDGE,INSUFFICIENT_SAMPLE,SAFE_STATE_REJECT,PRICE_GAP,,PRICE_DEPENDENT_RESEARCH_ONLY,PENDING,Classified as SAFE_STATE_REJECT: current_price_does_not_clear_conservative_edge;forecastability=FORECASTABILITY_GAP_MINUTES_STATE;structural=NO_STRUCTURAL_EDGE;similar_states=INSUFFICIENT_SAMPLE. This label is shadow-only and does not change production picks.,"['EVENT_START_VERIFIED', 'PRICE_DEPENDENT']",True,False
candidate::2026-05-28|julian_champagnie|PTS|UNDER|9.5000,Julian_Champagnie,SAS,OKC,PTS_UNDER,UNDER,9.5,-103.0,0.5073891625615764,0.5552859595867914,0.5657441751774572,0.0478967970252149,0.0583550126158808,EDGE_DEFENDABLE,UNFORECASTABLE,PRICE_ONLY_EDGE,INSUFFICIENT_SAMPLE,SAFE_STATE_INSUFFICIENT_EVIDENCE,FORECASTABILITY_GAP_ROLE_STATE,REAL_USAGE_VOLATILITY,KEEP_UNSAFE_TRUE_VOLATILITY,PENDING,Classified as SAFE_STATE_INSUFFICIENT_EVIDENCE: forecastability=FORECASTABILITY_GAP_USAGE_STATE;structural=PRICE_ONLY_EDGE;similar_states=INSUFFICIENT_SAMPLE. This label is shadow-only and does not change production picks.,"['EVENT_START_VERIFIED', 'PRICE_DEFENDABLE', 'TRUE_UNSTABLE_REJECTED']",True,False
candidate::2026-05-28|alex_caruso|PTS|UNDER|9.5000,Alex_Caruso,OKC,SAS,PTS_UNDER,UNDER,9.5,-104.5,0.511002444987775,0.5566456964507867,0.5657441751774572,0.0456432514630116,0.0547417301896822,EDGE_DEFENDABLE,UNFORECASTABLE,PRICE_ONLY_EDGE,INSUFFICIENT_SAMPLE,SAFE_STATE_INSUFFICIENT_EVIDENCE,FORECASTABILITY_GAP_MINUTES_STATE,REAL_MINUTES_VOLATILITY,KEEP_UNSAFE_TRUE_VOLATILITY,PENDING,Classified as SAFE_STATE_INSUFFICIENT_EVIDENCE: forecastability=FORECASTABILITY_GAP_MINUTES_STATE;structural=PRICE_ONLY_EDGE;similar_states=INSUFFICIENT_SAMPLE. This label is shadow-only and does not change production picks.,"['EVENT_START_VERIFIED', 'MINUTES_VOLATILE', 'PRICE_DEFENDABLE', 'TRUE_UNSTABLE_REJECTED']",True,False
candidate::2026-05-28|jared_mccain|PTS|UNDER|12.5000,Jared_McCain,OKC,SAS,PTS_UNDER,UNDER,12.5,-129.5,0.5642701525054467,0.5494850634910081,0.5657441751774572,-0.0147850890144385,0.0014740226720105,EDGE_PRICE_DEPENDENT,UNFORECASTABLE,PRICE_ONLY_EDGE,INSUFFICIENT_SAMPLE,SAFE_STATE_REJECT,PRICE_GAP,,PRICE_DEPENDENT_RESEARCH_ONLY,PENDING,Classified as SAFE_STATE_REJECT: current_price_does_not_clear_conservative_edge;forecastability=FORECASTABILITY_GAP_MINUTES_STATE;structural=PRICE_ONLY_EDGE;similar_states=INSUFFICIENT_SAMPLE. This label is shadow-only and does not change production picks.,"['EVENT_START_VERIFIED', 'PRICE_DEPENDENT']",True,False
