Date,Player,Player_Type,Market_Player_Norm,Market_Fetched_At_UTC,Market_Event_ID,Market_Commence_Time_UTC,Market_Home_Team,Market_Away_Team,Market_Provider,Market_H,Synthetic_Market_H,Market_H_books,Market_H_over_price,Market_H_under_price,Market_H_line_std,Market_Provider_H,Market_RBI,Synthetic_Market_RBI,Market_RBI_books,Market_RBI_over_price,Market_RBI_under_price,Market_RBI_line_std,Market_Provider_RBI,Market_HR,Synthetic_Market_HR,Market_HR_books,Market_HR_over_price,Market_HR_under_price,Market_HR_line_std,Market_Provider_HR,Market_K,Synthetic_Market_K,Market_K_books,Market_K_over_price,Market_K_under_price,Market_K_line_std,Market_Provider_K,Market_ER,Synthetic_Market_ER,Market_ER_books,Market_ER_over_price,Market_ER_under_price,Market_ER_line_std,Market_Provider_ER
2026-04-09,Harrison Bader,hitter,Harrison_Bader,2026-04-10T01:12:42Z,368431,,,,covers,0.5,0.5,1.0,-166.0,124.0,0.0,covers,0.5,0.5,1.0,216.0,,0.0,covers,0.5,0.5,1.0,660.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Heliot Ramos,hitter,Heliot_Ramos,2026-04-10T01:12:42Z,368431,,,,covers,0.5,0.5,1.0,-207.0,154.0,0.0,covers,0.5,0.5,1.0,190.0,,0.0,covers,0.5,0.5,1.0,540.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Hunter Goodman,hitter,Hunter_Goodman,2026-04-10T01:12:42Z,368270,,,,covers,0.5,0.5,4.0,-175.5,130.66666666666666,0.0,covers,0.5,0.5,4.0,172.5,-269.6666666666667,0.0,covers,0.5,0.5,4.0,438.5,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Hyeseong Kim,hitter,Hyeseong_Kim,2026-04-10T01:12:42Z,368938,,,,covers,0.5,0.5,2.0,-158.0,114.0,0.0,covers,0.5,0.5,2.0,237.0,,0.0,covers,,,,,,,,,,,,,,,,,,,,,
2026-04-09,Ivan Herrera,hitter,Ivan_Herrera,2026-04-10T01:12:42Z,369801,,,,covers,0.5,0.5,1.0,-209.0,155.0,0.0,covers,0.5,0.5,1.0,208.0,,0.0,covers,0.5,0.5,1.0,544.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,JJ Bleday,hitter,JJ_Bleday,2026-04-10T01:12:42Z,369801,,,,covers,0.5,0.5,1.0,-212.0,161.0,0.0,covers,0.5,0.5,1.0,260.0,,0.0,covers,0.5,0.5,1.0,820.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Jackson Merrill,hitter,Jackson_Merrill,2026-04-10T01:12:42Z,368270,,,,covers,0.5,0.5,4.0,-269.25,-51.0,0.4330127018922193,covers,0.5,0.5,4.0,128.25,-187.0,0.0,covers,0.5,0.5,4.0,409.5,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Jake Burger,hitter,Jake_Burger,2026-04-10T01:12:42Z,368938,,,,covers,0.5,0.5,2.0,-165.0,124.0,0.0,covers,0.5,0.5,2.0,176.5,,0.0,covers,0.5,0.5,2.0,402.5,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Jake Cronenworth,hitter,Jake_Cronenworth,2026-04-10T01:12:42Z,368270,,,,covers,0.5,0.5,4.0,-195.25,135.0,0.0,covers,0.5,0.5,4.0,191.75,-301.6666666666667,0.0,covers,0.5,0.5,4.0,607.5,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Jake Fraley,hitter,Jake_Fraley,2026-04-10T01:12:42Z,367971,,,,covers,0.5,0.5,2.0,-142.0,109.0,0.0,covers,0.5,0.5,2.0,235.0,,0.0,covers,0.5,0.5,2.0,775.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Jake McCarthy,hitter,Jake_McCarthy,2026-04-10T01:12:42Z,368270,,,,covers,0.5,0.5,3.0,-163.33333333333334,118.0,0.0,covers,0.5,0.5,3.0,226.66666666666666,-401.5,0.0,covers,0.5,0.5,4.0,1087.5,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Jarren Duran,hitter,Jarren_Duran,2026-04-10T01:12:42Z,369801,,,,covers,0.5,0.5,1.0,-213.0,160.0,0.0,covers,0.5,0.5,1.0,212.0,,0.0,covers,0.5,0.5,1.0,690.0,,0.0,covers,,,,,,,,,,,,,,
