provider_name,snapshot_time_utc,game_id,player,market,line,book,side,odds,no_vig,consensus,book_vs_consensus_gap,market_dispersion,time_to_lock
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Victor Wembanyama,AST,3.5,draftkings,UNDER,-161,0.6168582375478927,0.6232355207161215,-0.006377283168228831,0.04282359441911865,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Victor Wembanyama,AST,3.5,fanduel,UNDER,-154,0.6062992125984252,0.6232355207161215,-0.016936308117696308,0.04282359441911865,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Victor Wembanyama,AST,3.5,caesars,UNDER,-175,0.6363636363636364,0.6232355207161215,0.013128115647514815,0.04282359441911865,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Victor Wembanyama,AST,3.5,bovada,UNDER,-160,0.6153846153846154,0.6232355207161215,-0.00785090533150612,0.04282359441911865,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Victor Wembanyama,AST,3.5,espnbet,UNDER,-160,0.6153846153846154,0.6232355207161215,-0.00785090533150612,0.04282359441911865,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Victor Wembanyama,AST,3.5,betmgm,UNDER,-185,0.6491228070175439,0.6232355207161215,0.02588728630142234,0.04282359441911865,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Anthony Edwards,PTS,30.5,draftkings,OVER,-111,0.5260663507109005,0.5297849859461234,-0.003718635235222978,0.021645021645021578,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Anthony Edwards,PTS,29.5,fanduel,OVER,-130,0.5652173913043478,0.5652173913043478,0.0,0.0,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Anthony Edwards,PTS,30.5,espnbet,OVER,-110,0.5238095238095238,0.5297849859461234,-0.0059754621365996075,0.021645021645021578,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Anthony Edwards,PTS,30.5,bovada,OVER,-110,0.5238095238095238,0.5297849859461234,-0.0059754621365996075,0.021645021645021578,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Anthony Edwards,PTS,30.5,betmgm,OVER,-120,0.5454545454545454,0.5297849859461234,0.01566955950842197,0.021645021645021578,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Anthony Edwards,PTS,30.5,draftkings,UNDER,-118,0.5412844036697247,0.5390007545970849,0.002283649072639893,0.021645021645021578,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Anthony Edwards,PTS,29.5,fanduel,UNDER,-102,0.504950495049505,0.504950495049505,0.0,0.0,
