provider_name,source_event_id,game_id,snapshot_id,snapshot_time_utc,snapshot_type,commence_time_utc,home_team,away_team,player,player_id_source,market,market_canonical,line,book,side,odds,over_odds,under_odds,source_market_key,source_selection_key,is_live,raw_json_ref,valid_american_odds,schema_valid
sportsgameodds,pAYPKeculbQNxQPfqMBj,pAYPKeculbQNxQPfqMBj,sgo_20260513T014058Z,2026-05-13T01:40:58.226614+00:00,entry,,,,Jaden Mcdaniels,sgo_jaden_mcdaniels,AST,AST,2.5,bovada,UNDER,-190,,-190.0,player_assists,under,True,"{""event_id"": ""pAYPKeculbQNxQPfqMBj"", ""game_id"": ""pAYPKeculbQNxQPfqMBj"", ""player"": ""Jaden Mcdaniels"", ""player_raw"": ""JADEN_MCDANIELS_1_NBA"", ""market"": ""player_assists"", ""market_key"": ""player_assists"", ",True,True
sportsgameodds,pAYPKeculbQNxQPfqMBj,pAYPKeculbQNxQPfqMBj,sgo_20260513T014058Z,2026-05-13T01:40:58.226614+00:00,entry,,,,Jaden Mcdaniels,sgo_jaden_mcdaniels,AST,AST,2.5,espnbet,UNDER,-240,,-240.0,player_assists,under,True,"{""event_id"": ""pAYPKeculbQNxQPfqMBj"", ""game_id"": ""pAYPKeculbQNxQPfqMBj"", ""player"": ""Jaden Mcdaniels"", ""player_raw"": ""JADEN_MCDANIELS_1_NBA"", ""market"": ""player_assists"", ""market_key"": ""player_assists"", ",True,True
sportsgameodds,pAYPKeculbQNxQPfqMBj,pAYPKeculbQNxQPfqMBj,sgo_20260513T014058Z,2026-05-13T01:40:58.226614+00:00,entry,,,,Jaden Mcdaniels,sgo_jaden_mcdaniels,AST,AST,2.5,betmgm,UNDER,-115,,-115.0,player_assists,under,True,"{""event_id"": ""pAYPKeculbQNxQPfqMBj"", ""game_id"": ""pAYPKeculbQNxQPfqMBj"", ""player"": ""Jaden Mcdaniels"", ""player_raw"": ""JADEN_MCDANIELS_1_NBA"", ""market"": ""player_assists"", ""market_key"": ""player_assists"", ",True,True
sportsgameodds,pAYPKeculbQNxQPfqMBj,pAYPKeculbQNxQPfqMBj,sgo_20260513T014058Z,2026-05-13T01:40:58.226614+00:00,entry,,,,Jaden Mcdaniels,sgo_jaden_mcdaniels,AST,AST,3.5,caesars,UNDER,-325,,-325.0,player_assists,under,True,"{""event_id"": ""pAYPKeculbQNxQPfqMBj"", ""game_id"": ""pAYPKeculbQNxQPfqMBj"", ""player"": ""Jaden Mcdaniels"", ""player_raw"": ""JADEN_MCDANIELS_1_NBA"", ""market"": ""player_assists"", ""market_key"": ""player_assists"", ",True,True
sportsgameodds,pAYPKeculbQNxQPfqMBj,pAYPKeculbQNxQPfqMBj,sgo_20260513T014058Z,2026-05-13T01:40:58.226614+00:00,entry,,,,Julius Randle,sgo_julius_randle,AST,AST,1.5,draftkings,OVER,-135,-135.0,,player_assists,over,True,"{""event_id"": ""pAYPKeculbQNxQPfqMBj"", ""game_id"": ""pAYPKeculbQNxQPfqMBj"", ""player"": ""Julius Randle"", ""player_raw"": ""JULIUS_RANDLE_1_NBA"", ""market"": ""player_assists"", ""market_key"": ""player_assists"", ""lin",True,True
sportsgameodds,pAYPKeculbQNxQPfqMBj,pAYPKeculbQNxQPfqMBj,sgo_20260513T014058Z,2026-05-13T01:40:58.226614+00:00,entry,,,,Julius Randle,sgo_julius_randle,AST,AST,1.5,fanduel,OVER,-114,-114.0,,player_assists,over,True,"{""event_id"": ""pAYPKeculbQNxQPfqMBj"", ""game_id"": ""pAYPKeculbQNxQPfqMBj"", ""player"": ""Julius Randle"", ""player_raw"": ""JULIUS_RANDLE_1_NBA"", ""market"": ""player_assists"", ""market_key"": ""player_assists"", ""lin",True,True
sportsgameodds,pAYPKeculbQNxQPfqMBj,pAYPKeculbQNxQPfqMBj,sgo_20260513T014058Z,2026-05-13T01:40:58.226614+00:00,entry,,,,Julius Randle,sgo_julius_randle,AST,AST,3.5,caesars,OVER,650,650.0,,player_assists,over,True,"{""event_id"": ""pAYPKeculbQNxQPfqMBj"", ""game_id"": ""pAYPKeculbQNxQPfqMBj"", ""player"": ""Julius Randle"", ""player_raw"": ""JULIUS_RANDLE_1_NBA"", ""market"": ""player_assists"", ""market_key"": ""player_assists"", ""lin",True,True
sportsgameodds,pAYPKeculbQNxQPfqMBj,pAYPKeculbQNxQPfqMBj,sgo_20260513T014058Z,2026-05-13T01:40:58.226614+00:00,entry,,,,Julius Randle,sgo_julius_randle,AST,AST,1.5,bovada,OVER,-110,-110.0,,player_assists,over,True,"{""event_id"": ""pAYPKeculbQNxQPfqMBj"", ""game_id"": ""pAYPKeculbQNxQPfqMBj"", ""player"": ""Julius Randle"", ""player_raw"": ""JULIUS_RANDLE_1_NBA"", ""market"": ""player_assists"", ""market_key"": ""player_assists"", ""lin",True,True
sportsgameodds,pAYPKeculbQNxQPfqMBj,pAYPKeculbQNxQPfqMBj,sgo_20260513T014058Z,2026-05-13T01:40:58.226614+00:00,entry,,,,Julius Randle,sgo_julius_randle,AST,AST,1.5,espnbet,OVER,-105,-105.0,,player_assists,over,True,"{""event_id"": ""pAYPKeculbQNxQPfqMBj"", ""game_id"": ""pAYPKeculbQNxQPfqMBj"", ""player"": ""Julius Randle"", ""player_raw"": ""JULIUS_RANDLE_1_NBA"", ""market"": ""player_assists"", ""market_key"": ""player_assists"", ""lin",True,True
sportsgameodds,pAYPKeculbQNxQPfqMBj,pAYPKeculbQNxQPfqMBj,sgo_20260513T014058Z,2026-05-13T01:40:58.226614+00:00,entry,,,,Julius Randle,sgo_julius_randle,AST,AST,3.5,betmgm,OVER,-140,-140.0,,player_assists,over,True,"{""event_id"": ""pAYPKeculbQNxQPfqMBj"", ""game_id"": ""pAYPKeculbQNxQPfqMBj"", ""player"": ""Julius Randle"", ""player_raw"": ""JULIUS_RANDLE_1_NBA"", ""market"": ""player_assists"", ""market_key"": ""player_assists"", ""lin",True,True
sportsgameodds,pAYPKeculbQNxQPfqMBj,pAYPKeculbQNxQPfqMBj,sgo_20260513T014058Z,2026-05-13T01:40:58.226614+00:00,entry,,,,Julius Randle,sgo_julius_randle,AST,AST,1.5,draftkings,UNDER,105,,105.0,player_assists,under,True,"{""event_id"": ""pAYPKeculbQNxQPfqMBj"", ""game_id"": ""pAYPKeculbQNxQPfqMBj"", ""player"": ""Julius Randle"", ""player_raw"": ""JULIUS_RANDLE_1_NBA"", ""market"": ""player_assists"", ""market_key"": ""player_assists"", ""lin",True,True
sportsgameodds,pAYPKeculbQNxQPfqMBj,pAYPKeculbQNxQPfqMBj,sgo_20260513T014058Z,2026-05-13T01:40:58.226614+00:00,entry,,,,Julius Randle,sgo_julius_randle,AST,AST,1.5,fanduel,UNDER,-114,,-114.0,player_assists,under,True,"{""event_id"": ""pAYPKeculbQNxQPfqMBj"", ""game_id"": ""pAYPKeculbQNxQPfqMBj"", ""player"": ""Julius Randle"", ""player_raw"": ""JULIUS_RANDLE_1_NBA"", ""market"": ""player_assists"", ""market_key"": ""player_assists"", ""lin",True,True
sportsgameodds,pAYPKeculbQNxQPfqMBj,pAYPKeculbQNxQPfqMBj,sgo_20260513T014058Z,2026-05-13T01:40:58.226614+00:00,entry,,,,Julius Randle,sgo_julius_randle,AST,AST,3.5,caesars,UNDER,-170,,-170.0,player_assists,under,True,"{""event_id"": ""pAYPKeculbQNxQPfqMBj"", ""game_id"": ""pAYPKeculbQNxQPfqMBj"", ""player"": ""Julius Randle"", ""player_raw"": ""JULIUS_RANDLE_1_NBA"", ""market"": ""player_assists"", ""market_key"": ""player_assists"", ""lin",True,True
sportsgameodds,pAYPKeculbQNxQPfqMBj,pAYPKeculbQNxQPfqMBj,sgo_20260513T014058Z,2026-05-13T01:40:58.226614+00:00,entry,,,,Julius Randle,sgo_julius_randle,AST,AST,1.5,bovada,UNDER,-120,,-120.0,player_assists,under,True,"{""event_id"": ""pAYPKeculbQNxQPfqMBj"", ""game_id"": ""pAYPKeculbQNxQPfqMBj"", ""player"": ""Julius Randle"", ""player_raw"": ""JULIUS_RANDLE_1_NBA"", ""market"": ""player_assists"", ""market_key"": ""player_assists"", ""lin",True,True
sportsgameodds,pAYPKeculbQNxQPfqMBj,pAYPKeculbQNxQPfqMBj,sgo_20260513T014058Z,2026-05-13T01:40:58.226614+00:00,entry,,,,Julius Randle,sgo_julius_randle,AST,AST,1.5,espnbet,UNDER,-125,,-125.0,player_assists,under,True,"{""event_id"": ""pAYPKeculbQNxQPfqMBj"", ""game_id"": ""pAYPKeculbQNxQPfqMBj"", ""player"": ""Julius Randle"", ""player_raw"": ""JULIUS_RANDLE_1_NBA"", ""market"": ""player_assists"", ""market_key"": ""player_assists"", ""lin",True,True
