date,leg_i,leg_j,same_game,p_i,p_j,ev_i,ev_j,p_joint,p_joint_l,d_s,joint_ev,joint_ev_lcb,counterexample_mass,counterexample_count,retained_world_count,world_contraction_bits,logical_certificate,win_i,win_j,both_win,support_min_history_rows,support_max_rmse,calibration_pairs_prior,calibration_days_prior,evaluated,realized_return
20260730,Seiya Suzuki|R|OVER|0.5|823023,Alejandro Osuna|TB|OVER|0.5|822946,False,0.4964217390810085,0.4897547334737929,0.0251611936171038,0.07316502464996,0.2431248965142161,0.2079872912245214,4.525110975436249,0.1001671376182815,-0.0588344257286628,0.7568751034857839,3,4,0.0,False,1,1,True,80.0,1.1052312385306422,443360,8,True,3.525110975436249
20260802,Nathan Church|R|UNDER|0.5|822783,Evan Carter|R|UNDER|0.5|824163,False,0.7452374476885459,0.6724887714184661,0.1001124227783298,0.0138536300065199,0.5011638156111036,0.4604112243202052,2.225525743292241,0.1153529732490767,0.0246570322253152,0.4988361843888963,3,4,0.0,False,0,1,False,103.0,0.5954299448405097,592126,11,True,-1.0
20260620,Joc Pederson|TB|UNDER|1.5|822885,AJ Ewing|TB|OVER|0.5|823447,False,0.5859568894564394,0.5520468909829741,0.0205400407500206,0.2588358322693529,0.3234756790744816,0.2272305248912336,3.971526932836103,0.2846923715617515,-0.0975478504319812,0.6765243209255184,3,4,0.0,False,1,0,False,43.0,1.7272452306848085,174492,3,True,-1.0
20260619,Byron Buxton|R|OVER|0.5|825069,Henry Davis|TB|UNDER|1.5|824345,False,0.6417257814612464,0.6771083609722979,0.2712427486321973,0.0912635448765495,0.4345178920788915,0.3309550958592477,3.1926438325331548,0.3872608682709799,0.0566217456404463,0.5654821079211084,3,4,0.0,False,0,1,False,58.0,1.5838076769577818,97019,2,True,-1.0
20260802,Luis Campusano|R|UNDER|0.5|823270,Noelvi Marte|TB|UNDER|1.5|824483,False,0.7224659423488562,0.6248454543766074,0.0173500004504301,0.4153416439183617,0.4514295600185949,0.3466750693041024,3.189640089183674,0.4398978220778577,0.1057686989728938,0.5485704399814051,3,4,0.0,False,1,1,True,45.0,1.7798430302918142,638331,11,True,2.189640089183674
20260621,James Wood|R|OVER|0.5|822968,Tommy Troy|TB|OVER|0.5|825067,False,0.5750885489201816,0.5293125576701715,1.4620733167870306,0.1150936187227538,0.3044015907157689,0.2040284317183315,9.019145523915164,1.745442244376783,0.8401621166838207,0.6955984092842311,3,4,0.0,False,0,0,False,27.0,1.6296459253131468,201825,4,True,-1.0
20260626,Pete Alonso|R|OVER|0.5|824824,Paul Goldschmidt|TB|OVER|1.5|824743,False,0.4601699805059762,0.5183742611495927,1.1153183212976925,2.4531415563702472,0.2385402736480079,0.1729599693587138,30.62163670945974,6.304493600224411,4.296317346981824,0.761459726351992,3,4,0.0,False,0,0,False,61.0,2.0632503295087834,271841,5,True,-1.0
20260802,Jorge Polanco|R|UNDER|0.5|823592,Heliot Ramos|TB|OVER|1.5|823270,False,0.6879871384486749,0.4427982208475125,0.0109857949973486,0.0848556410764058,0.3046394808710445,0.2338271683516947,3.600234741784038,0.0967736427509882,-0.1581673049272434,0.6953605191289556,3,4,0.0,False,1,0,False,39.0,1.9077251182685355,612205,11,True,-1.0
20260627,Juan Soto|TB|OVER|1.5|823609,Isaac Collins|TB|OVER|0.5|824581,False,0.5310138752774451,0.5012764224194288,0.0928215425499994,0.0937461694518222,0.2661847356541544,0.184229204378867,4.490375351994149,0.1952693760584931,-0.1727417215396431,0.7338152643458455,3,4,0.0,False,1,1,True,67.0,2.2165609278910305,407665,6,True,3.4903753519941487
20260802,Ryan Vilade|R|UNDER|0.5|822943,Josh Bell|R|UNDER|0.5|823107,False,0.7316485123847656,0.6661826755639488,0.1030436963364231,0.0043464702664608,0.4874115635528661,0.4415205303318543,2.272900615836533,0.1078380429651566,0.0035322852957442,0.5125884364471339,3,4,0.0,False,1,0,False,75.0,0.6803265931482224,606805,11,True,-1.0
20260730,Randal Grichuk|R|UNDER|0.5|824568,Jacob Wilson|TB|UNDER|1.5|824974,False,0.7578634290159962,0.5934003142054465,0.1252021199443347,0.060670882120035,0.4497163969029092,0.3694805741201897,2.6538261298539068,0.1934691251246911,-0.0194627979264174,0.5502836030970908,3,4,0.0,False,1,0,False,81.0,1.5151896351735656,437234,8,True,-1.0
