snapshot_time,date,book,book_key,game_id,player_id,player,player_raw,market,line,over_odds,under_odds,no_vig_over,no_vig_under,open_line,current_line,close_line,close_over_odds,close_under_odds,close_status,team,opponent,source
2026-05-09T04:05:18.613508+00:00,2026-05-08,DraftKings,draftkings,2977815,5113,Devin_Vassell,Devin Vassell,PTS,14.5,-130.0,100.0,0.5306122448979592,0.4693877551020409,14.5,14.5,14.5,-130.0,100.0,provisional_current_snapshot_not_closing,SAS,@MIN,rotowire_current_board
2026-05-09T04:05:18.613508+00:00,2026-05-08,DraftKings,draftkings,2977815,5113,Devin_Vassell,Devin Vassell,TRB,5.5,-120.0,-110.0,0.5101214574898786,0.48987854251012153,5.5,5.5,5.5,-120.0,-110.0,provisional_current_snapshot_not_closing,SAS,@MIN,rotowire_current_board
2026-05-09T04:05:18.613508+00:00,2026-05-08,DraftKings,draftkings,2977815,5221,Jaden_McDaniels,Jaden McDaniels,AST,2.5,160.0,-210.0,0.3621495327102804,0.6378504672897196,2.5,2.5,2.5,160.0,-210.0,provisional_current_snapshot_not_closing,MIN,SAS,rotowire_current_board
2026-05-09T04:05:18.613508+00:00,2026-05-08,DraftKings,draftkings,2977815,5221,Jaden_McDaniels,Jaden McDaniels,PTS,14.5,-154.0,120.0,0.5715249662618084,0.42847503373819157,14.5,14.5,14.5,-154.0,120.0,provisional_current_snapshot_not_closing,MIN,SAS,rotowire_current_board
2026-05-09T04:05:18.613508+00:00,2026-05-08,DraftKings,draftkings,2977815,5221,Jaden_McDaniels,Jaden McDaniels,TRB,6.5,-140.0,110.0,0.550561797752809,0.449438202247191,6.5,6.5,6.5,-140.0,110.0,provisional_current_snapshot_not_closing,MIN,SAS,rotowire_current_board
2026-05-09T04:05:18.613508+00:00,2026-05-08,Fanatics,fanatics,2977815,5728,Julian_Champagnie,Julian Champagnie,PTS,4.5,105.0,-140.0,0.4554079696394686,0.5445920303605313,4.5,4.5,4.5,105.0,-140.0,provisional_current_snapshot_not_closing,SAS,@MIN,rotowire_current_board
2026-05-09T04:05:18.613508+00:00,2026-05-08,Fanatics,fanatics,2977815,5728,Julian_Champagnie,Julian Champagnie,TRB,8.5,-190.0,130.0,0.6011004126547456,0.3988995873452545,8.5,8.5,8.5,-190.0,130.0,provisional_current_snapshot_not_closing,SAS,@MIN,rotowire_current_board
2026-05-09T04:05:18.613508+00:00,2026-05-08,FanDuel,fanduel,2977815,3574,Julius_Randle,Julius Randle,AST,0.5,-120.0,-110.0,0.5101214574898786,0.48987854251012153,0.5,0.5,0.5,-120.0,-110.0,provisional_current_snapshot_not_closing,MIN,SAS,rotowire_current_board
2026-05-09T04:05:18.613508+00:00,2026-05-08,DraftKings,draftkings,2977815,3574,Julius_Randle,Julius Randle,PTS,12.5,105.0,-135.0,0.4592085979482169,0.5407914020517831,12.5,12.5,12.5,105.0,-135.0,provisional_current_snapshot_not_closing,MIN,SAS,rotowire_current_board
2026-05-09T04:05:18.613508+00:00,2026-05-08,DraftKings,draftkings,2977815,3574,Julius_Randle,Julius Randle,TRB,3.5,-230.0,175.0,0.6571428571428573,0.34285714285714286,3.5,3.5,3.5,-230.0,175.0,provisional_current_snapshot_not_closing,MIN,SAS,rotowire_current_board
2026-05-09T04:05:18.613508+00:00,2026-05-08,DraftKings,draftkings,2977815,4782,Keldon_Johnson,Keldon Johnson,PTS,11.5,130.0,-166.0,0.4106205619018215,0.5893794380981784,11.5,11.5,11.5,130.0,-166.0,provisional_current_snapshot_not_closing,SAS,@MIN,rotowire_current_board
2026-05-09T04:05:18.613508+00:00,2026-05-08,DraftKings,draftkings,2977815,4782,Keldon_Johnson,Keldon Johnson,TRB,2.5,154.0,-200.0,0.3712871287128713,0.6287128712871286,2.5,2.5,2.5,154.0,-200.0,provisional_current_snapshot_not_closing,SAS,@MIN,rotowire_current_board
2026-05-09T04:05:18.613508+00:00,2026-05-08,Fanatics,fanatics,2977815,4806,Naz_Reid,Naz Reid,AST,5.5,350.0,-700.0,0.20253164556962022,0.7974683544303797,5.5,5.5,5.5,350.0,-700.0,provisional_current_snapshot_not_closing,MIN,SAS,rotowire_current_board
2026-05-09T04:05:18.613508+00:00,2026-05-08,DraftKings,draftkings,2977815,4806,Naz_Reid,Naz Reid,PTS,16.5,-140.0,110.0,0.550561797752809,0.449438202247191,16.5,16.5,16.5,-140.0,110.0,provisional_current_snapshot_not_closing,MIN,SAS,rotowire_current_board
2026-05-09T04:05:18.613508+00:00,2026-05-08,FanDuel,fanduel,2977815,4806,Naz_Reid,Naz Reid,TRB,10.5,-108.0,-122.0,0.48581617766250607,0.5141838223374939,10.5,10.5,10.5,-108.0,-122.0,provisional_current_snapshot_not_closing,MIN,SAS,rotowire_current_board
2026-05-09T04:05:18.613508+00:00,2026-05-08,DraftKings,draftkings,2977815,3440,Rudy_Gobert,Rudy Gobert,PTS,10.5,135.0,-175.0,0.4007285974499089,0.599271402550091,10.5,10.5,10.5,135.0,-175.0,provisional_current_snapshot_not_closing,MIN,SAS,rotowire_current_board
2026-05-09T04:05:18.613508+00:00,2026-05-08,DraftKings,draftkings,2977815,3440,Rudy_Gobert,Rudy Gobert,TRB,7.5,-140.0,110.0,0.550561797752809,0.449438202247191,7.5,7.5,7.5,-140.0,110.0,provisional_current_snapshot_not_closing,MIN,SAS,rotowire_current_board
2026-05-09T04:05:18.613508+00:00,2026-05-08,DraftKings,draftkings,2977815,6250,Stephon_Castle,Stephon Castle,AST,12.5,130.0,-166.0,0.4106205619018215,0.5893794380981784,12.5,12.5,12.5,130.0,-166.0,provisional_current_snapshot_not_closing,SAS,@MIN,rotowire_current_board
2026-05-09T04:05:18.613508+00:00,2026-05-08,DraftKings,draftkings,2977815,6250,Stephon_Castle,Stephon Castle,PTS,15.5,-130.0,100.0,0.5306122448979592,0.4693877551020409,15.5,15.5,15.5,-130.0,100.0,provisional_current_snapshot_not_closing,SAS,@MIN,rotowire_current_board
2026-05-09T04:05:18.613508+00:00,2026-05-08,DraftKings,draftkings,2977815,6250,Stephon_Castle,Stephon Castle,TRB,4.5,-160.0,124.0,0.5795601552393274,0.4204398447606727,4.5,4.5,4.5,-160.0,124.0,provisional_current_snapshot_not_closing,SAS,@MIN,rotowire_current_board
2026-05-09T04:05:18.613508+00:00,2026-05-08,DraftKings,draftkings,2977815,6278,Terrence_Shannon,Terrence Shannon,PTS,5.5,135.0,-175.0,0.4007285974499089,0.599271402550091,5.5,5.5,5.5,135.0,-175.0,provisional_current_snapshot_not_closing,MIN,SAS,rotowire_current_board
2026-05-09T04:05:18.613508+00:00,2026-05-08,FanDuel,fanduel,2977815,5809,Victor_Wembanyama,Victor Wembanyama,AST,0.5,168.0,-230.0,0.34868977176669486,0.6513102282333052,0.5,0.5,0.5,168.0,-230.0,provisional_current_snapshot_not_closing,SAS,@MIN,rotowire_current_board
2026-05-09T04:05:18.613508+00:00,2026-05-08,DraftKings,draftkings,2977815,5809,Victor_Wembanyama,Victor Wembanyama,PTS,37.5,-105.0,-125.0,0.4796954314720812,0.5203045685279188,37.5,37.5,37.5,-105.0,-125.0,provisional_current_snapshot_not_closing,SAS,@MIN,rotowire_current_board
2026-05-09T04:05:18.613508+00:00,2026-05-08,DraftKings,draftkings,2977815,5809,Victor_Wembanyama,Victor Wembanyama,TRB,15.5,105.0,-135.0,0.4592085979482169,0.5407914020517831,15.5,15.5,15.5,105.0,-135.0,provisional_current_snapshot_not_closing,SAS,@MIN,rotowire_current_board
