player_id,player_display_name,position,recent_team,opponent_team,season,week,actual,baseline,prediction,absolute_error,target
00-0038579,Aidan O'Connell,QB,LV,CAR,2024,3,82.0,204.8,198.48155504796736,116.48155504796736,passing
00-0039152,Will Levis,QB,TEN,GB,2024,3,260.0,172.2,170.55587194249824,89.44412805750176,passing
00-0039163,C.J. Stroud,QB,HOU,MIN,2024,3,215.0,212.4,252.30136511502022,37.30136511502022,passing
00-0039164,Anthony Richardson,QB,IND,CHI,2024,3,167.0,154.0,165.39866327211342,1.6013367278865758,passing
00-0023459,Aaron Rodgers,QB,NYJ,DEN,2024,4,225.0,165.8,220.0631628506694,4.936837149330586,passing
00-0026158,Joe Flacco,QB,IND,PIT,2024,4,168.0,323.2,252.10706967033548,84.10706967033548,passing
00-0026300,Josh Johnson,QB,BAL,BUF,2024,4,1.0,129.6,147.66034174808016,146.66034174808016,passing
00-0026498,Matthew Stafford,QB,LA,CHI,2024,4,224.0,279.8,249.29421786488624,25.294217864886235,passing
00-0027973,Andy Dalton,QB,CAR,CIN,2024,4,220.0,170.2,181.11404363884571,38.885956361154285,passing
00-0029604,Kirk Cousins,QB,ATL,NO,2024,4,238.0,255.6,255.97244277823236,17.972442778232363,passing
00-0030565,Geno Smith,QB,SEA,DET,2024,4,395.0,253.2,238.5503937604692,156.4496062395308,passing
00-0031280,Derek Carr,QB,NO,ATL,2024,4,239.0,209.2,232.39145519383464,6.608544806165355,passing
00-0033077,Dak Prescott,QB,DAL,NYG,2024,4,221.0,295.0,262.78092881647825,41.78092881647825,passing
00-0033106,Jared Goff,QB,DET,SEA,2024,4,292.0,262.8,239.1225274832604,52.8774725167396,passing
00-0033119,Jacoby Brissett,QB,NE,SF,2024,4,168.0,118.4,164.16769213141936,3.832307868580642,passing
00-0033537,Deshaun Watson,QB,CLE,LV,2024,4,176.0,196.6,214.30233783854985,38.302337838549846,passing
00-0033873,Patrick Mahomes,QB,KC,LAC,2024,4,245.0,227.8,244.1480192354811,0.8519807645189132,passing
00-0034771,Mason Rudolph,QB,TEN,MIA,2024,4,85.0,150.8,175.1855935092529,90.1855935092529,passing
00-0034796,Lamar Jackson,QB,BAL,BUF,2024,4,156.0,255.0,230.10574362341623,74.10574362341623,passing
00-0034855,Baker Mayfield,QB,TB,PHI,2024,4,347.0,216.6,230.2280504520558,116.77194954794419,passing
00-0034857,Josh Allen,QB,BUF,BAL,2024,4,180.0,232.4,258.6870606451455,78.6870606451455,passing
00-0034869,Sam Darnold,QB,MIN,GB,2024,4,275.0,169.2,201.16839955196522,73.83160044803478,passing
00-0035228,Kyler Murray,QB,ARI,WAS,2024,4,142.0,225.8,254.18104137021953,112.18104137021953,passing
00-0035289,Gardner Minshew,QB,LV,CLE,2024,4,130.0,222.4,216.2613824079146,86.2613824079146,passing
00-0035710,Daniel Jones,QB,NYG,DAL,2024,4,281.0,148.8,197.29025005971891,83.70974994028109,passing
00-0035993,Tyler Huntley,QB,MIA,TEN,2024,4,96.0,40.6,122.81163749637147,26.811637496371475,passing
00-0036264,Jordan Love,QB,GB,MIN,2024,4,389.0,267.0,252.5352155169457,136.4647844830543,passing
00-0036355,Justin Herbert,QB,LAC,KC,2024,4,179.0,141.4,203.60474564294353,24.604745642943527,passing
00-0036389,Jalen Hurts,QB,PHI,TB,2024,4,158.0,198.8,208.46427726224005,50.464277262240046,passing
00-0036442,Joe Burrow,QB,CIN,CAR,2024,4,232.0,238.8,241.14683006971097,9.146830069710973,passing
00-0036945,Justin Fields,QB,PIT,IND,2024,4,312.0,186.8,198.75919727044334,113.24080272955666,passing
00-0036971,Trevor Lawrence,QB,JAX,HOU,2024,4,169.0,210.2,206.04105956391575,37.04105956391575,passing
00-0037834,Brock Purdy,QB,SF,NE,2024,4,288.0,265.4,244.62081312227906,43.37918687772094,passing
00-0039152,Will Levis,QB,TEN,MIA,2024,4,25.0,158.8,180.7865914314124,155.7865914314124,passing
00-0039163,C.J. Stroud,QB,HOU,JAX,2024,4,345.0,237.2,255.54516187014602,89.45483812985398,passing
00-0039164,Anthony Richardson,QB,IND,PIT,2024,4,71.0,176.2,164.23240520830444,93.23240520830444,passing
00-0039732,Bo Nix,QB,DEN,NYJ,2024,4,60.0,200.0,171.4977616719488,111.49776167194881,passing
00-0039910,Jayden Daniels,QB,WAS,ARI,2024,4,233.0,221.33333333333334,225.61794417362756,7.3820558263724365,passing
00-0039918,Caleb Williams,QB,CHI,LA,2024,4,157.0,210.0,197.0867601290065,40.08676012900651,passing
00-0023459,Aaron Rodgers,QB,NYJ,MIN,2024,5,244.0,169.8,234.04309395746785,9.956906042532154,passing
00-0026158,Joe Flacco,QB,IND,JAX,2024,5,359.0,306.0,249.02248272924572,109.97751727075428,passing
00-0026498,Matthew Stafford,QB,LA,GB,2024,5,260.0,259.0,234.6121939232639,25.387806076736098,passing
00-0027973,Andy Dalton,QB,CAR,CHI,2024,5,136.0,180.0,201.60170410073502,65.60170410073502,passing
00-0029604,Kirk Cousins,QB,ATL,TB,2024,5,509.0,227.6,240.50673763933733,268.4932623606627,passing
00-0030565,Geno Smith,QB,SEA,NYG,2024,5,284.0,274.2,230.5690665611621,53.43093343883791,passing
00-0031280,Derek Carr,QB,NO,KC,2024,5,165.0,217.6,229.7469080232902,64.74690802329019,passing
00-0032268,Marcus Mariota,QB,WAS,CLE,2024,5,-2.0,127.2,141.9347656079139,143.9347656079139,passing
00-0033077,Dak Prescott,QB,DAL,PIT,2024,5,352.0,270.2,256.0438031002975,95.95619689970249,passing
00-0033119,Jacoby Brissett,QB,NE,MIA,2024,5,160.0,127.2,155.97402524231836,4.025974757681638,passing
00-0033319,Nick Mullens,QB,MIN,NYJ,2024,5,24.0,244.6,186.8910418249623,162.8910418249623,passing
00-0033537,Deshaun Watson,QB,CLE,WAS,2024,5,125.0,188.0,207.81871202380472,82.81871202380472,passing
00-0033873,Patrick Mahomes,QB,KC,NO,2024,5,331.0,229.8,254.35745396780123,76.64254603219877,passing
00-0034796,Lamar Jackson,QB,BAL,CIN,2024,5,348.0,235.8,218.85528168477234,129.14471831522766,passing
00-0034855,Baker Mayfield,QB,TB,ATL,2024,5,180.0,224.2,219.90727505425994,39.90727505425994,passing
00-0034857,Josh Allen,QB,BUF,HOU,2024,5,131.0,234.6,233.73962005113714,102.73962005113714,passing
00-0034869,Sam Darnold,QB,MIN,NYJ,2024,5,179.0,224.2,211.66412902284486,32.66412902284486,passing
00-0035228,Kyler Murray,QB,ARI,SF,2024,5,195.0,207.8,225.10500191912647,30.105001919126465,passing
00-0035289,Gardner Minshew,QB,LV,DEN,2024,5,137.0,203.6,197.35709835959514,60.35709835959514,passing
00-0035710,Daniel Jones,QB,NYG,SEA,2024,5,257.0,181.2,202.44699273803786,54.55300726196214,passing
00-0035993,Tyler Huntley,QB,MIA,NE,2024,5,194.0,59.8,142.51957232548722,51.48042767451278,passing
00-0036264,Jordan Love,QB,GB,LA,2024,5,224.0,288.0,242.19152556981436,18.19152556981436,passing
00-0036442,Joe Burrow,QB,CIN,BAL,2024,5,392.0,215.8,257.9920590497953,134.00794095020473,passing
00-0036945,Justin Fields,QB,PIT,DAL,2024,5,131.0,195.6,197.88526265228197,66.88526265228197,passing
00-0036971,Trevor Lawrence,QB,JAX,IND,2024,5,371.0,201.8,212.62817919725796,158.37182080274204,passing
00-0037834,Brock Purdy,QB,SF,ARI,2024,5,244.0,272.0,244.67473790105376,0.67473790105376,passing
00-0038416,Tyson Bagent,QB,CHI,CAR,2024,5,0.0,171.8,175.1874613676394,175.1874613676394,passing
00-0038579,Aidan O'Connell,QB,LV,DEN,2024,5,94.0,187.0,203.2075246710407,109.20752467104069,passing
00-0039150,Bryce Young,QB,CAR,CHI,2024,5,58.0,152.6,152.5918720809145,94.5918720809145,passing
00-0039163,C.J. Stroud,QB,HOU,BUF,2024,5,331.0,263.6,240.74292430036456,90.25707569963544,passing
00-0039732,Bo Nix,QB,DEN,LV,2024,5,206.0,165.0,168.51292277579586,37.48707722420414,passing
00-0039910,Jayden Daniels,QB,WAS,CLE,2024,5,238.0,224.25,223.94888484319154,14.051115156808464,passing
00-0039918,Caleb Williams,QB,CHI,CAR,2024,5,304.0,196.75,173.95344852087962,130.04655147912038,passing
00-0023459,Aaron Rodgers,QB,NYJ,BUF,2024,6,294.0,218.6,226.88442888377472,67.11557111622528,passing
00-0026158,Joe Flacco,QB,IND,TEN,2024,6,189.0,315.6,238.71599044095274,49.71599044095274,passing
00-0027973,Andy Dalton,QB,CAR,ATL,2024,6,221.0,135.0,183.47794465820493,37.52205534179507,passing
00-0029604,Kirk Cousins,QB,ATL,CAR,2024,6,225.0,274.6,250.5474867859681,25.54748678596809,passing
00-0030565,Geno Smith,QB,SEA,SF,2024,6,312.0,293.2,228.4933244435196,83.50667555648039,passing
00-0033077,Dak Prescott,QB,DAL,DET,2024,6,178.0,284.8,270.48023232677735,92.48023232677735,passing
00-0033106,Jared Goff,QB,DET,DAL,2024,6,315.0,267.0,245.64839935838484,69.35160064161516,passing
00-0033537,Deshaun Watson,QB,CLE,PHI,2024,6,168.0,170.4,201.21772170524508,33.21772170524508,passing
00-0034796,Lamar Jackson,QB,BAL,WAS,2024,6,323.0,241.2,228.4558867422712,94.54411325772881,passing
00-0034855,Baker Mayfield,QB,TB,NO,2024,6,325.0,232.8,251.2083331087116,73.7916668912884,passing
00-0034857,Josh Allen,QB,BUF,NYJ,2024,6,215.0,189.0,207.85444623760142,7.145553762398578,passing
00-0035228,Kyler Murray,QB,ARI,GB,2024,6,214.0,194.4,216.34583955315065,2.345839553150654,passing
00-0035710,Daniel Jones,QB,NYG,CIN,2024,6,205.0,227.6,229.0747887012971,24.07478870129711,passing
00-0036264,Jordan Love,QB,GB,ARI,2024,6,258.0,289.0,227.2522211662704,30.747778833729598,passing
00-0036355,Justin Herbert,QB,LAC,DEN,2024,6,237.0,134.8,189.07173254386032,47.92826745613968,passing
00-0036389,Jalen Hurts,QB,PHI,CLE,2024,6,264.0,197.0,188.96140948066252,75.03859051933748,passing
00-0036442,Joe Burrow,QB,CIN,NYG,2024,6,208.0,274.0,267.4204041415428,59.420404141542804,passing
00-0036898,Davis Mills,QB,HOU,NE,2024,6,0.0,50.0,142.83043276405192,142.83043276405192,passing
00-0036945,Justin Fields,QB,PIT,LV,2024,6,145.0,192.2,200.47231785621722,55.47231785621722,passing
00-0036971,Trevor Lawrence,QB,JAX,CHI,2024,6,234.0,220.0,219.07306917126633,14.926930828733674,passing
00-0036972,Mac Jones,QB,JAX,CHI,2024,6,6.0,132.4,150.00846338337226,144.00846338337226,passing
00-0037834,Brock Purdy,QB,SF,SEA,2024,6,255.0,274.8,238.56002178254178,16.43997821745822,passing
