block,event_date,leg_count,policy_hit,control_hit,legacy_fixed_rank_core_hit,policy_action,policy_players,control_players,policy_independence_reference,policy_frechet_lower_reference,minimum_policy_marginal,history_rows_in_window,survival_policy_version
historical_expanding,2026-03-06,3,True,True,,False,Jaxson Hayes|DeAaron Fox|Pascal Siakam,Reed Sheppard|Jaxson Hayes|Karlo Matković,0.4224114335452034,0.06794320594639336,0.7399224909725723,170,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-03-08,2,True,True,True,False,Jrue Holiday|Rasheer Fleming,Leonard Miller|Jrue Holiday,0.5570298027989361,0.3808341362137986,0.7436504562339022,160,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-03-08,3,True,True,,False,Jrue Holiday|Rasheer Fleming|Scottie Barnes,Leonard Miller|Jrue Holiday|Scottie Barnes,0.4126353203869146,0.07215359302368007,0.7407778153224923,160,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-03-10,2,True,True,True,False,Rasheer Fleming|Tobias Harris,Rasheer Fleming|Justin Edwards,0.6031056882362982,0.41424221421054774,0.7647681882246528,160,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-03-10,3,True,True,,False,Rasheer Fleming|Tobias Harris|Rayan Rupert,Rasheer Fleming|Justin Edwards|Jrue Holiday,0.4347539824431436,0.07686312061063605,0.7208587000970317,160,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-03-11,2,True,False,False,False,James Harden|Landry Shamet,Cody Williams|Sion James,0.6322547660724466,0.3901921741743528,0.777809550992448,160,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-03-11,3,False,False,,False,James Harden|Landry Shamet|Cody Williams,Cody Williams|Sion James|James Harden,0.4652023119476858,0.066599390333554,0.7357830053816958,160,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-03-12,2,False,False,True,True,Bam Adebayo|Leonard Miller,Bam Adebayo|Leonard Miller,0.6357824736212605,0.49943550415961546,0.7917883468273131,160,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-03-12,3,False,False,,False,Bam Adebayo|Leonard Miller|Naji Marshall,Bam Adebayo|Leonard Miller|Naji Marshall,0.467130376991778,0.17974989656416795,0.734733020133629,160,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-03-13,2,False,True,True,False,Naz Reid|Leonard Miller,Devin Booker|Kawhi Leonard,0.5975887371766312,0.3570913248735379,0.7364588342083082,170,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-03-13,3,False,True,,False,Naz Reid|Leonard Miller|Vít Krejčí,Devin Booker|Kawhi Leonard|Cody Williams,0.4309315143619449,0.019204549597912735,0.7211171957455635,170,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-03-14,2,True,True,True,False,Justin Edwards|Dylan Cardwell,Justin Edwards|Jalen Suggs,0.5350304499510751,0.34935186203159163,0.71778826294054,170,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-03-14,3,True,False,,False,Justin Edwards|Dylan Cardwell|Jalen Suggs,Justin Edwards|Jalen Suggs|Quentin Grimes,0.3726700225048833,0.0,0.696539837197979,170,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-03-16,2,True,True,True,False,Jaylen Brown|Dorian Finney-Smith,Victor Wembanyama|Jett Howard,0.4972297938799223,0.2881885263517947,0.697550876129117,170,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-03-16,3,True,True,,False,Jaylen Brown|Dorian Finney-Smith|Kris Murray,Victor Wembanyama|Jett Howard|Gui Santos,0.34268959315494024,0.0,0.6891976252688059,170,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-03-17,2,False,True,True,False,Luguentz Dort|Ryan Rollins,Ryan Rollins|Justin Edwards,0.617723503541337,0.38416617525789,0.770541461270349,180,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-03-17,3,False,True,,False,Luguentz Dort|Ryan Rollins|Russell Westbrook,Ryan Rollins|Justin Edwards|Duncan Robinson,0.4518022945190929,0.058680482203607554,0.7313989057061338,180,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-03-18,2,True,True,True,True,Cody Williams|Nickeil Alexander-Walker,Nickeil Alexander-Walker|Dorian Finney-Smith,0.5888711109037934,0.43847586745067213,0.7673793787324451,190,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-03-18,3,True,True,,False,Cody Williams|Nickeil Alexander-Walker|Dorian Finney-Smith,Nickeil Alexander-Walker|Dorian Finney-Smith|Cody Williams,0.44011711200724046,0.13119934545008238,0.7473912437846597,190,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
historical_expanding,2026-03-19,2,True,False,False,False,James Harden|Justin Edwards,Jaylon Tyson|Jamir Watkins,0.5409793816509381,0.34461541869516576,0.7287724966163465,200,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
