Market_Date,Player,Market_Player_Raw,Market_Event_ID,Market_Commence_Time_UTC,Market_Home_Team,Market_Away_Team,Market_Player_Team,Market_Player_Opponent,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Market_K,Market_ER,Market_ERA,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_K_books,Market_ER_books,Market_ERA_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC
2026-06-21,Ryan_Vilade,Ryan Vilade,2941089,,TB,WSH,TB,WSH,,0.5,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,8.0,,,,,,274.192764,372.358941,1757.727563,,,,,,-353.833049,-675.431947,,,,,,,0.5175491695067657,0.0,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Ryan_Ward,Ryan Ward,2941916,,LAD,BAL,LAD,BAL,,1.0,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,9.0,,,,,,-100.468433,129.494158,405.024022,,,,,,-102.023763,-176.450182,,,,,,,0.5345224838248488,0.0,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Sal_Frelick,Sal Frelick,2940325,,ATL,MIL,MIL,ATL,,3.5,1.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,6.0,,,,,,-118.082498,295.173725,1380.559876,,,,,,-115.890979,-309.756098,,,,,,,0.7071067811865476,0.6900655593423543,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Sal_Stewart,Sal Stewart,2942623,,NYY,CIN,CIN,NYY,,1.5,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,7.0,,,,,,156.580843,207.183429,626.025518,,,,,,-182.492368,-290.977444,,,,,,,0.5175491695067657,0.0,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Salvador_Perez,Salvador Perez,2941921,,KC,STL,KC,STL,,1.5,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,7.0,,,,,,-110.437562,154.702175,549.374346,,,,,,107.014792,-218.500778,,,,,,,0.5175491695067657,0.0,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Sam_Antonacci,Sam Antonacci,2940725,,DET,CWS,CWS,DET,,1.5,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,4.0,,,,,,368.065693,575.0,2415.329627,,,,,,-761.111111,-1147.524752,,,,,,,0.4629100498862757,0.37796447300922725,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Samad_Taylor,Samad Taylor,2940573,,TEX,SD,SD,TEX,,1.5,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,7.0,,,,,,-122.341264,211.066295,1351.257842,,,,,,-110.342412,-301.744758,,,,,,,0.0,0.0,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Samuel_Basallo,Samuel Basallo,2941916,,LAD,BAL,BAL,LAD,,1.0,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,9.0,,,,,,-101.951375,150.383122,427.330551,,,,,,-102.418677,-201.239698,,,,,,,0.5345224838248488,0.0,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Seiya_Suzuki,Seiya Suzuki,2942558,,CHC,TOR,CHC,TOR,,1.0,0.5,,,,,,missing,real,real,missing,missing,missing,missing,missing,,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,0.5345224838248488,0.0,,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Shea_Langeliers,Shea Langeliers,2940053,,ATH,LAA,ATH,LAA,,1.5,0.5,,,,,,missing,real,real,missing,missing,missing,missing,missing,,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,0.3535533905932738,0.0,,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Shohei_Ohtani,Shohei Ohtani,2941916,,LAD,BAL,LAD,BAL,,1.5,0.5,0.5,,,,,missing,real,real,real,missing,missing,missing,missing,,8.0,7.0,9.0,,,,,,-117.1621,-193.343514,202.834892,,,,,,100.156463,139.948004,,,,,,,0.4629100498862757,0.0,0.0,,,,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Shota_Imanaga,Shota Imanaga,2942558,,CHC,TOR,CHC,TOR,,,,,,5.5,2.5,,missing,missing,missing,missing,missing,real,real,missing,,,,,,8.0,5.0,,,,,,,,,,,,,,,,,,,,,,,0.4629100498862758,0.447213595499958,,2026-06-21T19:20:37.517202+00:00
2026-06-21,Slade_Cecconi,Slade Cecconi,2941661,,HOU,CLE,CLE,HOU,,,,,,4.5,2.5,,missing,missing,missing,missing,missing,real,real,missing,,,,,,8.0,5.0,,,,,,,,,,,,,,,,,,,,,,,0.3535533905932738,0.0,,2026-06-21T19:20:37.517202+00:00
