fetched_at_utc,event_id,commence_time_utc,event_date_et,home_team,away_team,player_team,player_opponent,bookmaker_key,bookmaker_title,market_key,player_name_raw,player_name_norm,line,over_price,under_price
2026-06-20T11:58:55.263102+00:00,2940104,,2026-06-20,ARI,MIN,ARI,MIN,hardrock,Hard Rock,batter_home_runs,Jorge Barrosa,Jorge_Barrosa,0.5,1300.0,
2026-06-20T11:58:55.263102+00:00,2940104,,2026-06-20,ARI,MIN,ARI,MIN,thescore,theScore,batter_home_runs,Jorge Barrosa,Jorge_Barrosa,0.5,1000.0,
2026-06-20T11:58:55.263102+00:00,2940323,,2026-06-20,ATL,MIL,ATL,MIL,caesars,Caesars,batter_home_runs,Joey Bart,Joey_Bart,0.5,625.0,
2026-06-20T11:58:55.263102+00:00,2940323,,2026-06-20,ATL,MIL,ATL,MIL,draftkings,DraftKings,batter_home_runs,Joey Bart,Joey_Bart,0.5,610.0,
2026-06-20T11:58:55.263102+00:00,2940323,,2026-06-20,ATL,MIL,ATL,MIL,fanduel,FanDuel,batter_home_runs,Joey Bart,Joey_Bart,0.5,610.0,
2026-06-20T11:58:55.263102+00:00,2940323,,2026-06-20,ATL,MIL,ATL,MIL,hardrock,Hard Rock,batter_home_runs,Joey Bart,Joey_Bart,0.5,650.0,
2026-06-20T11:58:55.263102+00:00,2940323,,2026-06-20,ATL,MIL,ATL,MIL,mgm,BetMGM,batter_home_runs,Joey Bart,Joey_Bart,0.5,775.0,
2026-06-20T11:58:55.263102+00:00,2940323,,2026-06-20,ATL,MIL,ATL,MIL,thescore,theScore,batter_home_runs,Joey Bart,Joey_Bart,0.5,700.0,
2026-06-20T11:58:55.263102+00:00,2941912,,2026-06-20,LAD,BAL,BAL,LAD,caesars,Caesars,batter_home_runs,Samuel Basallo,Samuel_Basallo,0.5,425.0,
2026-06-20T11:58:55.263102+00:00,2941912,,2026-06-20,LAD,BAL,BAL,LAD,draftkings,DraftKings,batter_home_runs,Samuel Basallo,Samuel_Basallo,0.5,445.0,
2026-06-20T11:58:55.263102+00:00,2941912,,2026-06-20,LAD,BAL,BAL,LAD,fanatics,Fanatics,batter_home_runs,Samuel Basallo,Samuel_Basallo,0.5,440.0,
2026-06-20T11:58:55.263102+00:00,2941912,,2026-06-20,LAD,BAL,BAL,LAD,fanduel,FanDuel,batter_home_runs,Samuel Basallo,Samuel_Basallo,0.5,440.0,
2026-06-20T11:58:55.263102+00:00,2941912,,2026-06-20,LAD,BAL,BAL,LAD,hardrock,Hard Rock,batter_home_runs,Samuel Basallo,Samuel_Basallo,0.5,475.0,
2026-06-20T11:58:55.263102+00:00,2941912,,2026-06-20,LAD,BAL,BAL,LAD,mgm,BetMGM,batter_home_runs,Samuel Basallo,Samuel_Basallo,0.5,525.0,
2026-06-20T11:58:55.263102+00:00,2941912,,2026-06-20,LAD,BAL,BAL,LAD,thescore,theScore,batter_home_runs,Samuel Basallo,Samuel_Basallo,0.5,500.0,
2026-06-20T11:58:55.263102+00:00,2941659,,2026-06-20,HOU,CLE,CLE,HOU,caesars,Caesars,batter_home_runs,Travis Bazzana,Travis_Bazzana,0.5,625.0,
