nba_id,Player,Seasons,Team,Pos,MPG,LEBRON,O-LEBRON,D-LEBRON,WAR,OffRole,DefRole
1628449,Chris Boucher,2024,TOR,PF,14.098,-0.195,-0.171,-0.024,1,Stretch Big,Helper
1628464,Daniel Theis,2024,IND/LAC,C,16.917,-1.193,-1.279,0.086,0.804,Roll + Cut Big,Mobile Big
1628467,Maxi Kleber,2024,DAL,C,20.266,-1.404,-2.48,1.075,0.575,Stationary Shooter,Helper
1628470,Torrey Craig,2024,CHI,SF,19.785,-1.221,-1.072,-0.149,0.812,Stationary Shooter,Wing Stopper
1628960,Grayson Allen,2024,PHO,SG,33.511,0.574,0.794,-0.22,4.782,Movement Shooter,Point of Attack
1628963,Marvin Bagley Iii,2024,DET/WAS,C,21.069,-0.107,-0.18,0.072,1.553,Roll + Cut Big,Anchor Big
1628964,Mo Bamba,2024,PHI,C,12.99,0.142,-1.593,1.735,1.207,Stretch Big,Anchor Big
1628966,Keita Bates-Diop,2024,PHO/BRK,SF,12.54,-0.918,-0.932,0.014,0.641,Stationary Shooter,Wing Stopper
1628969,Mikal Bridges,2024,BRK,SF,34.839,0.028,0.835,-0.807,4.454,Secondary Ball Handler,Point of Attack
1628970,Miles Bridges,2024,CHO,SF,37.408,-2.518,-1.034,-1.484,-0.078,Shot Creator,Wing Stopper
1628971,Bruce Brown,2024,IND/TOR,SG,27.841,-2.191,-1.331,-0.86,0.319,Secondary Ball Handler,Chaser
1628972,Troy Brown Jr.,2024,MIN/DET,SF,14.009,-2.216,-1.54,-0.676,0.129,Movement Shooter,Helper
1628973,Jalen Brunson,2024,NYK,PG,35.408,3.414,4.353,-0.939,9.978,Shot Creator,Low Activity
1628975,Jevon Carter,2024,CHI,PG,13.939,-0.917,-0.455,-0.462,0.969,Movement Shooter,Chaser
1628976,Wendell Carter Jr.,2024,ORL,C,25.571,0.879,-0.482,1.36,2.945,Stretch Big,Anchor Big
1628978,Donte Divincenzo,2024,NYK,SG,29.141,1.188,1.021,0.167,5.401,Movement Shooter,Chaser
1628981,Bruno Fernando,2024,ATL,C,15.162,-1.047,-2.239,1.192,0.603,Roll + Cut Big,Mobile Big
1628983,Shai Gilgeous-Alexander,2024,OKC,PG,34.036,5.257,4.338,0.918,12.107,Shot Creator,Chaser
1628984,Devonte' Graham,2024,SAS,PG,13.607,-0.566,-0.041,-0.526,0.371,Secondary Ball Handler,Low Activity
1628988,Aaron Holiday,2024,HOU,PG,16.271,-1.277,-0.986,-0.291,0.939,Secondary Ball Handler,Point of Attack
1628989,Kevin Huerter,2024,SAC,SG,24.409,0.389,-0.259,0.647,2.79,Movement Shooter,Helper
1628991,Jaren Jackson Jr.,2024,MEM,C,32.185,0.713,-0.22,0.933,4.228,Shot Creator,Mobile Big
1628995,Kevin Knox Ii,2024,DET,SF,18.07,-1.957,-1.62,-0.337,0.177,Stationary Shooter,Wing Stopper
1628997,Caleb Martin,2024,MIA,SF,27.445,-0.767,-1.226,0.46,1.861,Movement Shooter,Point of Attack
1628998,Cody Martin,2024,CHO,SF,26.893,-1.289,-1.999,0.711,0.551,Primary Ball Handler,Point of Attack
1629001,De'Anthony Melton,2024,PHI,SG,26.93,0.913,0.357,0.556,2.165,Secondary Ball Handler,Point of Attack
1629002,Chimezie Metu,2024,PHO/DET,C,16.841,-1.222,-1.849,0.627,0.665,Stationary Shooter,Helper
1629003,Shake Milton,2024,MIN/DET/NYK,SG,12.107,-1.937,-1.424,-0.513,0.191,Movement Shooter,Low Activity
1629004,Svi Mykhailiuk,2024,BOS,SF,10.077,-1.23,0.046,-1.277,0.318,Off Screen Shooter,Low Activity
1629006,Josh Okogie,2024,PHO,SG,15.994,-0.65,-0.561,-0.089,1.087,Stationary Shooter,Point of Attack
1629007,Jontay Porter,2024,TOR,PF,13.836,0.314,-0.923,1.237,0.626,Stretch Big,Mobile Big
1629008,Michael Porter Jr.,2024,DEN,SF,31.663,0.857,1.462,-0.605,5.336,Off Screen Shooter,Low Activity
1629011,Mitchell Robinson,2024,NYK,C,24.78,0.28,-1.233,1.514,1.32,Athletic Finisher,Mobile Big
1629012,Collin Sexton,2024,UTA,SG,26.6,0.986,2.729,-1.743,4.484,Shot Creator,Chaser
1629013,Landry Shamet,2024,WAS,SG,15.791,-1.639,-0.596,-1.043,0.373,Off Screen Shooter,Chaser
1629014,Anfernee Simons,2024,POR,SG,34.386,-0.149,1.671,-1.819,2.291,Shot Creator,Chaser
1629018,Gary Trent Jr.,2024,TOR,SG,28.078,-1.683,-0.216,-1.467,0.97,Movement Shooter,Chaser
1629020,Jarred Vanderbilt,2024,LAL,PF,20.044,-1.231,-2.248,1.017,0.447,Athletic Finisher,Wing Stopper
1629021,Moritz Wagner,2024,ORL,C,17.683,0.348,0.701,-0.353,2.49,Roll + Cut Big,Mobile Big
1629022,Lonnie Walker Iv,2024,BRK,SG,17.434,-1.623,-0.829,-0.795,0.529,Secondary Ball Handler,Low Activity
1629023,P.J. Washington,2024,CHO/DAL,PF,30.419,-0.288,-0.603,0.315,3.022,Stationary Shooter,Wing Stopper
1629026,Kenrich Williams,2024,OKC,PF,14.913,-0.59,-0.643,0.053,1.205,Stationary Shooter,Helper
1629027,Trae Young,2024,ATL,PG,35.958,1.528,3.301,-1.772,4.855,Shot Creator,Chaser
1629028,Deandre Ayton,2024,POR,C,32.428,-1.066,-1.31,0.244,1.556,Post Scorer,Anchor Big
1629029,Luka Dončić,2024,DAL,PG,37.488,6.37,6.195,0.175,14.075,Shot Creator,Low Activity
1629048,Goga Bitadze,2024,ORL,C,15.438,1.397,-0.712,2.108,2.315,Roll + Cut Big,Mobile Big
1629052,Oshae Brissett,2024,BOS,SF,11.456,-0.549,-0.17,-0.379,0.754,Movement Shooter,Helper
1629057,Robert Williams Iii,2024,POR,C,19.792,-0.391,-1.072,0.681,0.154,Athletic Finisher,Anchor Big
1629060,Rui Hachimura,2024,LAL,PF,26.342,-1.311,-0.594,-0.717,1.287,Shot Creator,Wing Stopper
1629111,Jock Landale,2024,HOU,C,13.635,-0.631,-0.627,-0.004,0.874,Roll + Cut Big,Mobile Big
1629117,Wenyen Gabriel,2024,MEM,PF,16.203,-0.909,-1.155,0.247,0.079,Low Minute,Helper
1629130,Duncan Robinson,2024,MIA,SF,28.022,-0.596,-0.353,-0.243,2.223,Movement Shooter,Low Activity
1629139,Yuta Watanabe,2024,PHO/MEM,SF,13.657,-2.932,-1.9,-1.031,-0.132,Movement Shooter,Low Activity
1629162,Jordan Mclaughlin,2024,MIN,PG,11.18,0.581,-0.088,0.669,1.194,Movement Shooter,Point of Attack
1629216,Gabe Vincent,2024,LAL,PG,18.566,-1.579,-1.438,-0.141,0.113,Secondary Ball Handler,Point of Attack
1629234,Drew Eubanks,2024,PHO,C,15.583,-1.01,-1.72,0.71,1.06,Roll + Cut Big,Mobile Big
1629312,Haywood Highsmith,2024,MIA,PF,20.693,-0.829,-1.978,1.15,1.394,Stationary Shooter,Point of Attack
1629599,Amir Coffey,2024,LAC,SF,20.864,-2.62,-1.503,-1.117,-0.136,Stationary Shooter,Chaser
1629611,Terance Mann,2024,LAC,SG,24.97,-1.615,-0.932,-0.683,0.99,Stationary Shooter,Point of Attack
1629614,Andrew Nembhard,2024,IND,PG,24.951,-1.382,-1.002,-0.38,1.143,Primary Ball Handler,Point of Attack
1629622,Max Strus,2024,CLE,SF,31.988,0.375,-0.009,0.385,3.981,Movement Shooter,Helper
1629626,Bol Bol,2024,PHO,PF,10.907,-0.311,-0.78,0.469,0.631,Stationary Shooter,Helper
1629627,Zion Williamson,2024,NOP,PF,31.041,1.025,1.43,-0.405,4.749,Shot Creator,Helper
1629628,Rj Barrett,2024,NYK/TOR,SG,31.691,-0.321,0.196,-0.517,2.463,Slasher,Wing Stopper
1629629,Cam Reddish,2024,LAL,SF,20.501,-1.611,-2.414,0.803,0.523,Stationary Shooter,Point of Attack
1629630,Ja Morant,2024,MEM,PG,35.326,1.601,1.75,-0.15,0.809,Shot Creator,Chaser
1629631,De'Andre Hunter,2024,ATL,SF,29.493,-1.41,-0.811,-0.598,1.104,Shot Creator,Wing Stopper
1629632,Coby White,2024,CHI,PG,36.473,-0.707,0.805,-1.512,3.16,Primary Ball Handler,Chaser
1629634,Brandon Clarke,2024,MEM,PF,22.386,-0.646,-0.782,0.136,0.153,Athletic Finisher,Helper
1629636,Darius Garland,2024,CLE,PG,33.345,0.167,0.691,-0.524,3.13,Primary Ball Handler,Point of Attack
1629637,Jaxson Hayes,2024,LAL,C,12.356,-2.167,-2.637,0.47,0.161,Roll + Cut Big,Anchor Big
1629638,Nickeil Alexander-Walker,2024,MIN,SG,23.423,-1.266,-1.56,0.294,1.434,Primary Ball Handler,Point of Attack
1629639,Tyler Herro,2024,MIA,SG,33.503,0.049,0.717,-0.667,2.213,Primary Ball Handler,Chaser
1629640,Keldon Johnson,2024,SAS,SF,29.542,-1.457,-0.024,-1.433,1.279,Movement Shooter,Wing Stopper
1629642,Nassir Little,2024,PHO,SF,10.183,-2.259,-1.707,-0.552,0.059,Stationary Shooter,Helper
1629646,Charles Bassey,2024,SAS,C,10.807,0.07,-1.392,1.463,0.326,Athletic Finisher,Mobile Big
1629647,Darius Bazley,2024,PHI/UTA,PF,16.87,-0.554,-1.047,0.493,0.181,Shot Creator,Helper
