Date,Player,Player_Type,Target,Line,Over_Price,Under_Price,Bookmaker,Provider,Market_Player_Norm,Market_Fetched_At_UTC,Market_Event_ID,Market_Commence_Time_UTC,Market_Home_Team,Market_Away_Team,Market_Name
2026-04-09,Ezequiel Tovar,hitter,H,0.5,-202.0,151.0,DraftKings,covers,Ezequiel_Tovar,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Ezequiel Tovar,hitter,H,0.5,-185.0,,FanDuel,covers,Ezequiel_Tovar,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Manny Machado,hitter,H,0.5,-200.0,150.0,BetMGM,covers,Manny_Machado,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Manny Machado,hitter,H,0.5,-205.0,151.0,Caesars,covers,Manny_Machado,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Manny Machado,hitter,H,0.5,-200.0,149.0,DraftKings,covers,Manny_Machado,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Manny Machado,hitter,H,0.5,-200.0,,FanDuel,covers,Manny_Machado,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Fernando Tatis Jr.,hitter,H,0.5,-210.0,155.0,BetMGM,covers,Fernando_Tatis_Jr,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Fernando Tatis Jr.,hitter,H,0.5,-310.0,,Caesars,covers,Fernando_Tatis_Jr,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Fernando Tatis Jr.,hitter,H,0.5,-258.0,190.0,DraftKings,covers,Fernando_Tatis_Jr,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Fernando Tatis Jr.,hitter,H,0.5,-240.0,,FanDuel,covers,Fernando_Tatis_Jr,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Gavin Sheets,hitter,H,0.5,-165.0,125.0,BetMGM,covers,Gavin_Sheets,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Gavin Sheets,hitter,H,0.5,-197.0,129.0,Caesars,covers,Gavin_Sheets,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Gavin Sheets,hitter,H,0.5,-175.0,130.0,DraftKings,covers,Gavin_Sheets,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Gavin Sheets,hitter,H,0.5,-175.0,,FanDuel,covers,Gavin_Sheets,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Xander Bogaerts,hitter,H,0.5,-200.0,150.0,BetMGM,covers,Xander_Bogaerts,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Xander Bogaerts,hitter,H,0.5,-275.0,162.0,Caesars,covers,Xander_Bogaerts,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Xander Bogaerts,hitter,H,0.5,-218.0,162.0,DraftKings,covers,Xander_Bogaerts,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Xander Bogaerts,hitter,H,0.5,-210.0,,FanDuel,covers,Xander_Bogaerts,2026-04-10T01:12:42Z,368270,,,,Total Hits
